Batch,Time,Day,VCC,Viability,Titer,lactate,glucose,ammonium,glutamate,glutamine,osmolality,Total_Base_Added
CTM1,3/5/2025 10:50,0,0.61,100,23.9,0.06,6.38,0.49,2.80,0.70,309,0.000
CTM1,3/6/2025 9:31,1,1.05,99,35,0.18,6.27,0.70,3.04,0.72,310,0.000
CTM1,3/7/2025 14:20,2,2.33,99,66.8,0.40,5.72,1.15,3.28,0.64,301,0.000
CTM1,3/8/2025 8:11,3,3.77,99,105.1,0.54,5.23,1.70,3.57,0.62,301,0.000
CTM1,3/9/2025 8:16,4,6.93,100,198.5,0.79,3.92,2.35,3.95,0.54,287,0.000
CTM1,3/10/2025 9:12,5,9.7,99,362.2,1.11,4.30,4.02,4.95,0.77,327,6.500
CTM1,3/11/2025 9:15,6,13.41,99,648.9,1.37,1.80,4.40,6.42,N/A,313,13.300
CTM1,3/12/2025 8:54,7,15.87,98,971.3,1.16,3.76,4.41,7.43,N/A,353,20.800
CTM1,3/13/2025 8:42,8,18.75,97,1398.1,0.64,3.64,4.04,6.88,N/A,341,20.700
CTM1,3/14/2025 8:54,9,17.39,96,1765,0.17,3.60,5.34,7.58,N/A,364,20.700
CTM1,3/15/2025 8:08,10,16.95,93,2125.3,0.11,3.23,5.96,7.86,N/A,348,20.700
CTM1,3/16/2025 8:46,11,15.21,91,2366.6,0.12,3.01,6.71,8.53,N/A,379,20.700
CTM1,3/17/2025 8:39,12,16.43,89,2638.6,0.11,3.42,7.25,8.52,N/A,381,20.700
CTM1,3/18/2025 10:33,13,15.23,86,2820.2,0.14,3.42,8.54,9.04,N/A,405,20.600
CTM1,3/19/2025 7:52,14,13.55,82,2931.8,0.15,4.10,9.39,8.94,N/A,410,20.600
CTM2,3/25/2025 12:27,0,0.54,99,18.2,0.08,6.43,0.56,2.99,0.68,309,0.100
CTM2,3/26/2025 10:20,1,1.1,99,31.3,0.19,6.32,0.78,3.12,0.74,309,0.100
CTM2,3/27/2025 8:43,2,1.84,99,52.3,0.36,5.96,1.08,3.27,0.71,306,0.100
CTM2,3/28/2025 8:31,3,3.66,99,99,0.52,5.25,1.67,3.53,0.50,302,0.100
CTM2,3/29/2025 9:01,4,7.02,100,198.2,0.83,4.03,2.44,4.48,0.60,281,0.100
CTM2,3/30/2025 0:00,5,9.66,99,357.2,1.08,4.34,3.96,5.59,0.83,319,6.100
CTM2,3/31/2025 8:43,6,13.58,99,616.9,1.28,2.00,4.27,5.82,0.66,314,16.300
CTM2,4/1/2025 8:23,7,13.93,99,941.3,1.12,3.61,4.31,5.98,1.13,351,20.900
CTM2,4/2/2025 9:45,8,17.01,98,1410.1,0.55,3.46,3.98,6.70,N/A,328,21.100
CTM2,4/3/2025 9:10,9,17.24,96,1754.9,0.17,3.43,5.02,5.91,1.69,362,21.100
CTM2,4/4/2025 8:55,10,18.77,95,2101.7,0.14,3.46,5.62,6.42,N/A,357,21.100
CTM2,4/5/2025 8:21,11,19.08,92,2339.8,0.13,3.18,6.76,7.81,N/A,381,21.100
CTM2,4/6/2025 8:09,12,16.37,88,2583.3,0.12,3.61,7.35,7.73,N/A,383,21.100
CTM2,4/7/2025 8:40,13,15.35,86,2760.3,0.14,3.70,8.59,8.08,N/A,410,21.100
CTM2,4/8/2025 7:53,14,15.6,84,2920.1,0.14,4.03,9.13,8.06,N/A,413,21.100
CTM3,4/15/2025 11:47,0,0.61,98.3,23.9,0.06,6.33,0.59,2.91,0.78,311,0.000
CTM3,4/16/2025 8:40,1,1.11,98.3,35,0.19,6.13,0.83,3.06,0.68,308,0.200
CTM3,4/17/2025 8:52,2,2.84,98.8,66.8,0.44,5.70,1.21,3.39,0.66,305,0.200
CTM3,4/18/2025 8:47,3,4.45,99.1,130.3,0.65,4.83,1.93,3.80,0.63,297,0.200
CTM3,4/19/2025 8:56,4,7.97,99.1,241.8,0.91,3.41,N/A,4.58,0.72,277,0.300
CTM3,4/20/2025 8:26,5,10.57,98.2,427.1,1.17,4.19,N/A,5.64,0.81,317,7.200
CTM3,4/21/2025 9:10,6,12.78,97.5,751.9,1.26,1.44,N/A,5.60,0.53,302,16.300
CTM3,4/22/2025 9:01,7,15.01,97.1,1087.6,0.97,3.80,4.23,6.07,N/A,351,22.600
CTM3,4/23/2025 8:49,8,17.73,96.6,1518.4,0.54,3.50,N/A,6.86,N/A,331,22.600
CTM3,4/24/2025 8:49,9,17.09,93.5,1865.5,0.23,3.37,4.60,6.49,N/A,362,22.600
CTM3,4/25/2025 9:17,10,16.24,91.2,2223.7,0.15,3.26,N/A,7.33,N/A,348,22.600
CTM3,4/26/2025 9:55,11,16.77,88.1,2449.5,0.13,3.31,N/A,7.71,N/A,375,22.500
CTM3,4/27/2025 8:13,12,17.65,84.9,2660.9,0.14,3.62,6.77,9.06,N/A,383,22.500
CTM3,4/28/2025 8:32,13,16.53,83.1,2823,0.17,3.68,7.86,9.92,N/A,406,22.500
CTM3,4/29/2025 7:50,14,15.6,80.7,2929.1,0.11,4.24,9.26,9.32,N/A,414,22.500
CTM4,5/15/2025 10:55,0,0.66,98.5,23.9,0.08,6.31,0.55,3.11,0.27,310,0.000
