Code_Execution_Date,Bioreactor,Day,Date,Variable,Value
1/7/2026,FER027,0,,VOLUME_L,710.5301574
1/7/2026,FER027,1,,VOLUME_L,738.1
1/7/2026,FER027,2,,VOLUME_L,737.2289441
1/7/2026,FER027,3,,VOLUME_L,759.5616068
1/7/2026,FER027,4,,VOLUME_L,782.6091544
1/7/2026,FER027,5,,VOLUME_L,807.6817017
1/7/2026,FER027,6,,VOLUME_L,809.9971096
1/7/2026,FER027,7,,VOLUME_L,831.0761145
1/7/2026,FER027,8,,VOLUME_L,861.3772426
1/7/2026,FER027,9,,VOLUME_L,865.4212804
1/7/2026,FER027,10,,VOLUME_L,870.0143686
1/7/2026,FER027,11,,VOLUME_L,901.9343951
1/7/2026,FER027,12,,VOLUME_L,906.329533
1/7/2026,FER027,13,,VOLUME_L,910.1896048
1/7/2026,FER027,14,,VOLUME_L,908.8783841
1/7/2026,FER027,0,,IGG--STATE_SP,21.05
1/7/2026,FER027,1,,IGG--STATE_SP,33.38678571
1/7/2026,FER027,2,,IGG--STATE_SP,60.40071429
1/7/2026,FER027,3,,IGG--STATE_SP,122.9070408
1/7/2026,FER027,4,,IGG--STATE_SP,236.8946939
1/7/2026,FER027,5,,IGG--STATE_SP,423.577551
1/7/2026,FER027,6,,IGG--STATE_SP,738.8046939
1/7/2026,FER027,7,,IGG--STATE_SP,1098.795
1/7/2026,FER027,8,,IGG--STATE_SP,1576.804082
1/7/2026,FER027,9,,IGG--STATE_SP,1964.336939
1/7/2026,FER027,10,,IGG--STATE_SP,2359.913265
1/7/2026,FER027,11,,IGG--STATE_SP,2619.449388
1/7/2026,FER027,12,,IGG--STATE_SP,2907.418776
1/7/2026,FER027,13,,IGG--STATE_SP,3101.575408
1/7/2026,FER027,14,,IGG--STATE_SP,3295.191429
1/7/2026,FER027,0,,NORMALIZED_BOLUS_FEED--INPUT_REF,0
1/7/2026,FER027,1,,NORMALIZED_BOLUS_FEED--INPUT_REF,1.37E-05
1/7/2026,FER027,2,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.029814052
1/7/2026,FER027,3,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.029845981
1/7/2026,FER027,4,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.02189427
1/7/2026,FER027,5,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.003923996
1/7/2026,FER027,6,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.011573763
1/7/2026,FER027,7,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.029900916
1/7/2026,FER027,8,,NORMALIZED_BOLUS_FEED--INPUT_REF,2.49E-05
1/7/2026,FER027,9,,NORMALIZED_BOLUS_FEED--INPUT_REF,2.47E-05
1/7/2026,FER027,10,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.029901949
1/7/2026,FER027,11,,NORMALIZED_BOLUS_FEED--INPUT_REF,1.12E-05
1/7/2026,FER027,12,,NORMALIZED_BOLUS_FEED--INPUT_REF,0
1/7/2026,FER027,13,,NORMALIZED_BOLUS_FEED--INPUT_REF,0.013545611
1/7/2026,FER027,14,,NORMALIZED_BOLUS_FEED--INPUT_REF,0
1/7/2026,FER027,0,,TEMPERATURE_SETPOINT--INPUT_REF,36.5
1/7/2026,FER027,1,,TEMPERATURE_SETPOINT--INPUT_REF,36.6
1/7/2026,FER027,2,,TEMPERATURE_SETPOINT--INPUT_REF,37.20000076
1/7/2026,FER027,3,,TEMPERATURE_SETPOINT--INPUT_REF,37.46225739
1/7/2026,FER027,4,,TEMPERATURE_SETPOINT--INPUT_REF,37.5
1/7/2026,FER027,5,,TEMPERATURE_SETPOINT--INPUT_REF,36.94977951
1/7/2026,FER027,6,,TEMPERATURE_SETPOINT--INPUT_REF,37.20030594
1/7/2026,FER027,7,,TEMPERATURE_SETPOINT--INPUT_REF,36.57346725
1/7/2026,FER027,8,,TEMPERATURE_SETPOINT--INPUT_REF,36.31659698
1/7/2026,FER027,9,,TEMPERATURE_SETPOINT--INPUT_REF,36.51498795
1/7/2026,FER027,10,,TEMPERATURE_SETPOINT--INPUT_REF,36.72688293
1/7/2026,FER027,11,,TEMPERATURE_SETPOINT--INPUT_REF,36.01781082
1/7/2026,FER027,12,,TEMPERATURE_SETPOINT--INPUT_REF,36.1323543
1/7/2026,FER027,13,,TEMPERATURE_SETPOINT--INPUT_REF,36.30627918
1/7/2026,FER027,14,,TEMPERATURE_SETPOINT--INPUT_REF,36.5
1/7/2026,FER027,0,,PH_SETPOINT--INPUT_REF,7.099999905
1/7/2026,FER027,1,,PH_SETPOINT--INPUT_REF,7.105
1/7/2026,FER027,2,,PH_SETPOINT--INPUT_REF,6.949999809
1/7/2026,FER027,3,,PH_SETPOINT--INPUT_REF,7.002543449
