Experiment,Batch,Duration,Condition,Day,Sample Time,TCC,VCC,Viability,Diameter,Osmo,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH_at_temp,pCO2_at_temp,Potassium,Sodium,IGG,DO,pH_setpoint,Temperature,Cumulative_Feed,Cumulative_Glucose,Cumulative_Normalized_Feed,Cumulative_Normalized_Glucose,Volume,Initial_Volume
AR21-042,AR21-042-005,12,ambr Parallel: 0.0004 ? 0.0002,0,5/4/2021 12:49,12.024,11.78,98,17.252,322,1.12,0.72,6.19,0.15,3.4,0.96,7.119,49.9,6.57,107.8,100,0.5,7.1,34,0,0,0,0,200,200
AR21-042,AR21-042-006,12,ambr Parallel: 0.0004 ? 0.0002,0,5/4/2021 12:56,12.216,12.045,98.6,17.1684,321,1.15,0.72,6.13,0.19,3.29,0.98,7.109,49.8,6.56,108.5,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-007,12,ambr Parallel: Control,0,5/4/2021 13:03,12.019,11.827,98.4,17.1444,320,1.15,0.71,5.99,0.2,3.27,0.99,7.107,49.9,6.39,107.5,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-008,12,ambr Parallel: Control,0,5/4/2021 13:09,12.033,11.864,98.6,17.0845,318,1.19,0.73,5.92,0.2,3.2,1,7.095,50.4,6.41,109.7,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-009,12,"0.0003 ? 0.0004, 34C, 6.90",0,5/4/2021 13:17,11.953,11.695,97.8,17.111,320,1.18,0.71,5.93,0.22,3.19,1.02,7.1,48.9,6.32,107,100,0.5,7.1,34,0,0,0,0,,200
AR21-042,AR21-042-010,12,"0.0003 ? 0.0002, 34C, 7.10",0,5/4/2021 13:24,11.601,11.404,98.3,17.0695,311,1.27,0.78,5.91,0.24,3.12,1.02,7.093,49.8,6.63,117.5,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-011,12,"0.0002 ? 0.0003, 32C, 6.90",0,5/4/2021 13:31,12.312,12.089,98.2,17.1658,318,1.33,0.74,5.79,0.22,3.31,1.11,7.076,48.7,6.41,112.6,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-012,12,"0.0003 ? 0.0004, 34C, 6.90",0,5/4/2021 13:37,12.026,11.827,98.3,17.171,313,1.33,0.72,5.7,0.23,3.19,1.07,7.082,46.8,6.25,108.9,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-013,12,"DoE center point: 0.0003, 33C, 7.00",0,5/4/2021 13:44,12.174,11.958,98.2,17.1623,316,1.38,0.76,5.54,0.12,3.28,1.11,7.071,47,6.39,114,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-014,12,"0.0004 ? 0.0003, 32C, 6.90",0,5/4/2021 13:51,12.268,12.068,98.4,17.2068,318,1.38,0.72,5.67,0.16,3.27,1.12,7.061,47.3,6.23,109.4,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-015,12,"0.0003 ? 0.0004, 34C, 7.10",0,5/4/2021 14:13,12.714,12.486,98.2,17.282,318,1.41,0.73,5.71,0.19,3.26,1.14,7.056,48.1,6.32,110.1,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-016,12,"0.0004 ? 0.0003, 32C, 7.10",0,5/4/2021 14:20,12.512,12.289,98.2,17.2288,316,1.4,0.72,5.58,0.2,3.19,1.13,7.054,47.4,6.22,109,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-017,12,"0.0003 ? 0.0002, 34C, 7.10",0,5/4/2021 14:26,12.458,12.275,98.5,17.1064,315,1.43,0.74,5.46,0.19,3.23,1.16,7.059,46.1,6.26,111.7,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-018,12,"0.0002 ? 0.0003, 32C, 7.10",0,5/4/2021 14:34,12.378,12.202,98.6,17.1881,317,1.55,0.73,5.4,0.19,3.36,1.23,7.063,45.3,6.03,111.2,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-019,12,"DoE center point: 0.0003, 33C, 7.00",0,5/4/2021 14:41,12.47,12.275,98.4,17.2193,314,1.51,0.67,5.25,0.13,3.35,1.25,7.047,46.2,5.84,102.8,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-020,12,"0.0004 ? 0.0003, 34C, 6.90",0,5/4/2021 14:47,12.404,12.183,98.2,17.3477,314,1.6,0.73,5.29,0.16,3.34,1.27,7.047,46.3,6.15,112.4,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-021,12,"0.0002 ? 0.0003, 34C, 7.10",0,5/4/2021 14:54,12.796,12.62,98.6,17.3391,316,1.54,0.7,5.05,0.17,3.31,1.29,7.071,46.1,5.96,109.2,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-022,12,"DoE center point: 0.0003, 33C, 7.00",0,5/4/2021 15:01,13.026,12.821,98.4,17.244,317,1.58,0.72,5.07,0.18,3.28,1.29,7.054,47.3,6,111.9,100,0.5,7.1,34,0,0,0,0,199.8,200
AR21-042,AR21-042-023,12,"0.0003 ? 0.0002, 34C, 6.90",0,5/4/2021 15:08,12.615,12.458,98.8,17.4297,313,1.56,0.69,4.98,0.18,3.25,1.28,7.037,45.8,5.81,105.8,100,0.5,7.1,34,0,0,0,0,199.8,200
