Sample_Name,Experiment,Batch,Sample_Time,Day,Vicell_sampletime,Flex_sampletime,Cedex_sampletime,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH,CO2,pO2,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,LDH,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Feed_Time_Offset,Bolus_Feed,Cumulative_Feed,Cumulative_Glucose,Normalized_Bolus_Feed,Cumulative_Normalized_Feed,Cumulative_Normalized_Glucose,Volume,Initial_Volume
AR25-050005152FER2050-01,AR25-050,AR25-050-001,5/15/2025 14:32,0,5/15/2025 14:12,5/15/2025 14:32,5/15/2025 15:40,0.613,0.6036,98.5,15.42,328,0.87,0.51,6.5,1.06,2.99,0,7.31,36.4,141.4,5.21,118.5,18.3,35.7,138.6,7.31,68.8395,2.980076,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,189.01,190
AR25-050005152FER2051-01,AR25-050,AR25-050-002,5/15/2025 13:44,0,5/15/2025 14:19,5/15/2025 13:44,5/15/2025 15:41,0.8376,0.8333,99.5,15.15,331,0.56,0.25,2.82,0.45,1.27,0,7.16,49.7,144.9,2.21,,18.1,52.2,151.9,7.15,66.4305,4.302008,40,6.75,6.6,6.9,38,8,0,0,,0,0,,189.01,190
AR25-050005152FER2052-01,AR25-050,AR25-050-003,5/15/2025 13:51,0,5/15/2025 14:21,5/15/2025 13:51,5/15/2025 15:42,0.7407,0.7357,99.3,15.02,467,0.47,,1.56,0.24,0.66,0,7.45,17.3,148.7,,,11.9,15.9,137.5,7.48,67.74885,4.137844,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,189.99,190
AR25-050005152FER2053-01,AR25-050,AR25-050-004,5/15/2025 13:58,0,5/15/2025 14:23,5/15/2025 13:58,5/15/2025 15:43,0.8061,0.796,98.8,15.13,330,0.67,0.32,3.79,0.6,1.74,0,7.08,67.4,140.5,3.01,,19.8,61.9,129.1,7.11,67.041,2.780452,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,187.21,190
AR25-050005152FER2054-01,AR25-050,AR25-050-005,5/15/2025 14:11,0,5/15/2025 14:25,5/15/2025 14:11,5/15/2025 15:43,0.407,0.4055,99.6,15.01,336,0.52,0.23,2.41,0.3,1.04,0,7.47,15.7,148.5,,,11.4,14.3,137,7.5,66.7011,2.850442,40,7.45,7.3,7.6,35,8,0,0,,0,0,,187.21,190
AR25-050005152FER2055-01,AR25-050,AR25-050-006,5/15/2025 14:38,0,5/15/2025 14:27,5/15/2025 14:38,5/15/2025 15:44,0.8348,0.829,99.3,14.86,331,0.96,0.52,6.45,1.04,3.02,0,7.04,76.3,124.2,5.2,119.6,21,79.5,130.2,7.03,67.47945,3.826687,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,186.24,190
AR25-050005152FER2056-01,AR25-050,AR25-050-007,5/15/2025 14:26,0,5/15/2025 14:29,5/15/2025 14:26,5/15/2025 15:45,0.6072,0.5984,98.6,15.07,327,0.6,0.3,3.43,0.55,1.5,0,7.35,29.8,148.9,2.75,,16.5,29.2,146.1,7.36,65.004,3.873929,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,187.21,190
AR25-050005152FER2057-01,AR25-050,AR25-050-008,5/15/2025 14:44,0,5/15/2025 14:31,5/15/2025 14:44,5/15/2025 15:46,0.5835,0.5757,98.6,15.26,325,0.85,0.49,6.11,1,2.78,0,7.26,41.7,148.6,4.89,112.3,18.9,40.8,145.6,7.27,67.94355,2.63223,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,186.24,190
AR25-050005152FER2058-01,AR25-050,AR25-050-009,5/15/2025 14:50,0,5/15/2025 14:33,5/15/2025 14:50,5/15/2025 15:47,0.8455,0.8405,99.4,15,327,0.93,0.5,6.2,1,2.91,0,7.44,23.3,152.8,5.01,115.4,15.8,21.4,141.5,7.47,70.10505,4.455608,40,7.45,7.3,7.6,35,8,0,0,,0,0,,187.21,190
AR25-050005152FER2059-01,AR25-050,AR25-050-010,5/15/2025 14:57,0,5/15/2025 14:35,5/15/2025 14:57,5/15/2025 15:48,0.8491,0.8448,99.5,15,333,0.89,0.47,5.81,0.94,2.7,0,7.02,82.5,140.1,4.67,109,20.6,75.7,128.6,7.04,68.86365,4.428925,40,6.75,6.6,6.9,35,8,0,0,,0,0,,187.21,190
AR25-050005152FER2060-01,AR25-050,AR25-050-011,5/15/2025 15:02,0,5/15/2025 14:37,5/15/2025 15:02,5/15/2025 15:49,0.4063,0.402,98.9,15.07,325,0.82,0.52,6.62,1.09,2.96,0,7.57,20.1,141.7,5.32,120.3,18.6,21,148.1,7.55,68.27415,3.763106,40,7.45,7.3,7.6,38,-8,0,0,,0,0,,187.21,190
AR25-050005152FER2061-01,AR25-050,AR25-050-012,5/15/2025 15:08,0,5/15/2025 14:39,5/15/2025 15:08,5/15/2025 15:50,0.44,0.4386,99.7,15.26,333,0.8,0.5,6.26,1,2.75,0,7.01,83.3,139.5,5.01,114.7,21.8,87.1,145.9,7,66.41955,3.119906,40,6.75,6.6,6.9,38,8,0,0,,0,0,,187.21,190
AR25-050005152FER2062-01,AR25-050,AR25-050-013,5/15/2025 15:15,0,5/15/2025 14:41,5/15/2025 15:15,5/15/2025 15:51,0.8498,0.8441,99.3,15.23,327,0.95,0.49,6.13,1,2.91,0,7.51,19,151.9,4.99,115.2,15.4,19.9,158,7.49,69.9177,5.101078,40,7.45,7.3,7.6,38,8,0,0,,0,0,,187.21,190
AR25-050005152FER2063-01,AR25-050,AR25-050-014,5/15/2025 15:21,0,5/15/2025 14:43,5/15/2025 15:21,5/15/2025 15:53,0.8161,0.8075,98.9,15.3,326,0.95,0.49,6.09,0.99,2.87,0,7.52,17.8,150.7,4.95,114.4,14.9,18.6,156.8,7.51,66.92745,4.572588,40,7.45,7.3,7.6,38,-8,0,0,,0,0,,187.21,190
AR25-050005152FER2064-01,AR25-050,AR25-050-015,5/15/2025 15:27,0,5/15/2025 14:45,5/15/2025 15:27,5/15/2025 15:56,0.3969,0.3926,98.9,15.12,332,0.79,0.5,6.32,1.01,2.77,0,7.03,80.2,142.2,5.06,115.6,20.8,73.5,130.7,7.06,68.0871,2.077781,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,139.99,190
AR25-050005152FER2065-01,AR25-050,AR25-050-016,5/15/2025 15:32,0,5/15/2025 14:47,5/15/2025 15:32,5/15/2025 15:58,0.407,0.4048,99.5,15.29,333,0.62,0.33,3.87,0.56,1.66,0,7.1,62.5,142.5,3.08,,19.1,57.3,131,7.13,66.30435,1.64785,40,6.75,6.6,6.9,35,8,0,0,,0,0,,187.21,190
AR25-050005152FER2066-01,AR25-050,AR25-050-017,5/15/2025 15:39,0,5/15/2025 14:48,5/15/2025 15:39,5/15/2025 15:59,0.4091,0.4027,98.4,15.23,333,0.81,0.51,6.38,1.01,2.8,0,6.95,97.2,134.9,5.12,116.8,22.1,101.6,141.3,6.94,71.8281,2.731598,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,187.21,190
AR25-050005152FER2067-01,AR25-050,AR25-050-018,5/15/2025 15:45,0,5/15/2025 14:50,5/15/2025 15:45,5/15/2025 16:00,0.6166,0.6072,98.5,15.08,339,0.52,0.21,2.07,0.27,0.91,0,7.38,26,144.7,,,15.4,25.5,141.7,7.39,67.20885,4.034012,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,187.21,190
AR25-050005152FER2068-01,AR25-050,AR25-050-019,5/15/2025 15:51,0,5/15/2025 14:52,5/15/2025 15:51,5/15/2025 16:01,0.3488,0.3445,98.8,15.05,329,0.81,0.52,6.62,1.07,2.95,0,7.51,18.8,147.6,5.29,120.1,15,17.2,136,7.54,68.067,2.896023,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,187.21,190
