Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint
MPC25-001-001,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,6.9
MPC25-001-001,1,62.17045891,2.801270473,98.2236,15.49701877,1.225749199,2.701689291,0,36.5,6.9
MPC25-001-001,2,95.01778761,4.195953602,97.83835117,15.77666174,1.822267622,2.820459915,0,36.5,6.9
MPC25-001-001,3,207.6147128,5.752109873,97.46271156,16.07511771,2.467703916,3.423240426,0.042434169,36.5,6.9
MPC25-001-001,4,436.0413553,8.233710642,97.43923848,16.0184251,2.842804764,4.430604191,0,36.5,6.9
MPC25-001-001,5,804.2171022,10.87575124,96.97434842,16.01246232,3.276498004,5.622342563,0,36.5,6.9
MPC25-001-001,6,1279.058163,13.82560484,96.46816093,15.93783487,3.862455091,7.022033675,0.053031757,35,6.9
MPC25-001-001,7,1945.88469,16.23048282,96.00469566,15.51947546,4.23689003,7.197216357,0,35,6.9
MPC25-001-001,8,2602.661617,17.50762128,94.71627544,16.02113419,5.272964927,6.722801307,0.053633643,35,6.9
MPC25-001-001,9,3255.288691,18.44289335,93.5542749,16.77043945,6.541589497,6.347425475,0,35,6.9
MPC25-001-001,10,3967.549735,18.09061127,91.63614198,17.88624049,8.253138919,6.531082831,0.048951202,35,6.9
MPC25-001-001,11,4746.927568,17.74114135,89.99591064,18.4809414,9.897554006,7.487077473,0,35,6.9
MPC25-001-001,12,5616.141463,16.81714067,87.82716819,18.85121555,11.71151241,8.795977927,0.0438877,35,6.9
MPC25-001-001,13,6531.725475,16.39823038,85.95105054,18.66392646,13.36778723,9.953302532,0,35,6.9
MPC25-001-001,14,7481.651854,15.62674936,83.47152868,18.64181544,15.17491329,10.36685342,0,35,6.9
MPC25-001-002,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-002,1,41.03482888,3.023799092,98.91284811,15.32043123,1.145529209,3.071631697,0,36.5,7.3
MPC25-001-002,2,69.57200209,4.905319521,99.20830706,15.37882373,1.584763573,3.343106706,0,36.5,7.3
MPC25-001-002,3,183.6525625,7.086911055,99.44742162,15.5564088,2.046520744,3.807432023,0.032369717,36.5,7.3
MPC25-001-002,4,414.9550274,10.04129934,99.8512857,15.59595693,2.303007519,4.509492219,0,35,7.3
MPC25-001-002,5,867.7825344,11.58088895,99.50349868,15.648841,2.47378246,4.260921631,0,35,7.3
MPC25-001-002,6,1308.708625,12.46996794,98.86857676,16.13489318,2.986363306,3.862712348,0.040602245,35,7.3
MPC25-001-002,7,1771.300597,13.23901367,98.29481958,16.63448367,3.48927179,3.646750795,0,35,7.3
MPC25-001-002,8,2292.390452,13.19349607,97.10004254,17.2843975,4.153916362,3.777857144,0.041278175,35,7.3
MPC25-001-002,9,2862.891428,13.30609409,96.06503399,17.4957976,4.599157741,4.260263132,0,35,7.3
MPC25-001-002,10,3487.918379,12.9283636,94.46190404,17.63279172,5.063427852,4.736804125,0.037833861,35,7.3
MPC25-001-002,11,4125.329829,12.83134919,92.96361983,17.43401327,5.272528124,4.915781393,0,35,7.3
MPC25-001-002,12,4765.024615,12.18936732,90.80781779,17.44726228,5.470593832,4.48009706,0.034067647,35,7.3
MPC25-001-002,13,5375.05218,11.51786107,88.5370194,17.45987184,5.345384085,3.433727206,0,35,7.3
MPC25-001-002,14,5967.05443,10.03660841,85.43597373,17.8065676,4.967561772,1.818533584,0,35,7.3
MPC25-001-003,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,7.3
MPC25-001-003,1,41.03482888,3.023799092,98.91284811,15.32043123,1.145529209,3.071631697,0,36.5,7.3
MPC25-001-003,2,69.57200209,4.905319521,99.20830706,15.37882373,1.584763573,3.343106706,0,36.5,7.3
MPC25-001-003,3,183.6525625,7.086911055,99.44742162,15.5564088,2.046520744,3.807432023,0.032369717,36.5,7.3
MPC25-001-003,4,414.9550274,10.04129934,99.8512857,15.59595693,2.303007519,4.509492219,0,35,7.3
MPC25-001-003,5,867.7825344,11.58088895,99.50349868,15.648841,2.47378246,4.260921631,0,35,7.3
MPC25-001-003,6,1308.708625,12.46996794,98.86857676,16.13489318,2.986363306,3.862712348,0.040602245,35,7.3
MPC25-001-003,7,1771.300597,13.23901367,98.29481958,16.63448367,3.48927179,3.646750795,0,35,7.3
MPC25-001-003,8,2292.390452,13.19349607,97.10004254,17.2843975,4.153916362,3.777857144,0.041278175,35,7.3
MPC25-001-003,9,2862.891428,13.30609409,96.06503399,17.4957976,4.599157741,4.260263132,0,35,7.3
MPC25-001-003,10,3487.918379,12.9283636,94.46190404,17.63279172,5.063427852,4.736804125,0.037833861,35,7.3
MPC25-001-003,11,4125.329829,12.83134919,92.96361983,17.43401327,5.272528124,4.915781393,0,35,7.3
MPC25-001-003,12,4765.024615,12.18936732,90.80781779,17.44726228,5.470593832,4.48009706,0.034067647,35,7.3
MPC25-001-003,13,5375.05218,11.51786107,88.5370194,17.45987184,5.345384085,3.433727206,0,35,7.3
MPC25-001-003,14,5967.05443,10.03660841,85.43597373,17.8065676,4.967561772,1.818533584,0,35,7.3
MPC25-001-004,0,75.02,1.5,98.6,15.44,0.73,2.79,0,36.5,6.9
