Batch,Day,IGG,VCC,Viability,Diameter,Ammonium,Glutamate,Normalized_Bolus_Feed,Temperature,pH_setpoint,pH_setpoint,Temperature Shift Day,Feed %,Process Type
MPC25-001-001,0,72.87315,1.5,99.2,15.59,0.74,2.69,0,36.5,6.9,6.9,6,27,Simulation
MPC25-001-001,1,69.15382445,2.733034134,98.77754709,15.61751579,1.222214234,2.68832926,0,36.5,6.9,6.9,6,27,Simulation
MPC25-001-001,2,110.2340252,4.092066791,98.35825313,15.83849687,1.795773641,2.865055184,0,36.5,6.9,6.9,6,27,Simulation
MPC25-001-001,3,226.2899851,5.630022129,97.95344412,16.08452042,2.421364,3.459430175,0.045772459,36.5,6.9,6.9,6,27,Simulation
MPC25-001-001,4,452.3505149,8.132013811,97.92112252,15.99357055,2.764024094,4.381660078,0,36.5,6.9,6.9,6,27,Simulation
MPC25-001-001,5,814.3587504,10.74105436,97.39798868,16.01277704,3.172511769,5.439390128,0,36.5,6.9,6.9,6,27,Simulation
MPC25-001-001,6,1279.83722,13.61052208,96.81598212,15.98879401,3.726522741,6.71984322,0.057134467,35,6.9,6.9,6,27,Simulation
MPC25-001-001,7,1938.522101,15.96378874,96.29449579,15.5924011,4.01473191,6.810341781,0,35,6.9,6.9,6,27,Simulation
MPC25-001-001,8,2591.321381,17.15992882,94.89320339,16.10448059,4.922204924,6.27469203,0.057683692,35,6.9,6.9,6,27,Simulation
MPC25-001-001,9,3241.28943,18.07777978,93.63415293,16.80791478,5.981884373,5.837210997,0,35,6.9,6.9,6,27,Simulation
MPC25-001-001,10,3950.649598,17.69210088,91.55501457,17.872436,7.428823812,5.912836251,0.052575037,35,6.9,6.9,6,27,Simulation
MPC25-001-001,11,4721.103054,17.34610019,89.74880654,18.39300032,8.726913393,6.695361862,0,35,6.9,6.9,6,27,Simulation
MPC25-001-001,12,5573.113042,16.36408335,87.33429214,18.71558654,10.13475199,7.755385488,0.047070341,35,6.9,6.9,6,27,Simulation
MPC25-001-001,13,6458.577442,15.86096336,85.18801649,18.47545633,11.29462207,8.609960239,0,35,6.9,6.9,6,27,Simulation
MPC25-001-001,14,7363.871257,14.89843897,82.3565993,18.41358479,12.52409424,8.682518105,0,35,6.9,6.9,6,27,Simulation
MPC25-001-002,0,73.21845,1.5,98.9,15.4,0.75,2.79,0,36.5,7.3,7.3,4,17,Simulation
MPC25-001-002,1,31.34184825,2.98938308,99.20140552,15.33504075,1.203726123,2.987830152,0,36.5,7.3,7.3,4,17,Simulation
MPC25-001-002,2,53.30453081,4.806108485,99.48148391,15.45089828,1.680378777,3.229178987,0,36.5,7.3,7.3,4,17,Simulation
MPC25-001-002,3,164.8928647,6.921467397,99.70946642,15.6576042,2.16538881,3.725570549,0.028998269,36.5,7.3,7.3,4,17,Simulation
MPC25-001-002,4,397.0804834,9.787514169,100.0872531,15.70167752,2.449322828,4.505345155,0,35,7.3,7.3,4,17,Simulation
MPC25-001-002,5,850.8893044,11.30013073,99.76247995,15.70963845,2.633161763,4.341236821,0,35,7.3,7.3,4,17,Simulation
MPC25-001-002,6,1292.310373,12.20601438,99.16103821,16.14375589,3.155239429,3.978407223,0.036418113,35,7.3,7.3,4,17,Simulation
MPC25-001-002,7,1751.679751,12.95241748,98.59053689,16.63496296,3.703174081,3.748411284,0,35,7.3,7.3,4,17,Simulation
MPC25-001-002,8,2264.528431,12.90778322,97.44033255,17.28895118,4.422730528,3.844470358,0.037089794,35,7.3,7.3,4,17,Simulation
MPC25-001-002,9,2825.763646,12.95904007,96.41685416,17.54824341,4.957715339,4.299424245,0,35,7.3,7.3,4,17,Simulation
MPC25-001-002,10,3441.86424,12.54929492,94.87158885,17.7164441,5.509172813,4.790079831,0.034043806,35,7.3,7.3,4,17,Simulation
MPC25-001-002,11,4074.953401,12.39586249,93.41056685,17.55215062,5.821760011,5.02326809,0,35,7.3,7.3,4,17,Simulation
MPC25-001-002,12,4714.515132,11.76641496,91.34177746,17.56009205,6.110553882,4.672087648,0.030700331,35,7.3,7.3,4,17,Simulation
MPC25-001-002,13,5330.226491,11.12053794,89.14110223,17.5695106,6.089177062,3.708050683,0,35,7.3,7.3,4,17,Simulation
MPC25-001-002,14,5932.073824,9.741080296,86.14735579,17.89863347,5.810129313,2.15847767,0,35,7.3,7.3,4,17,Simulation
MPC25-001-003,0,75.18855,1.5,98.9,15.27,0.69,2.81,0,36.5,7.3,7.3,4,17,Simulation
MPC25-001-003,1,16.93222518,2.96561691,99.20285429,15.28155159,1.187137706,2.860476228,0,36.5,7.3,7.3,4,17,Simulation
MPC25-001-003,2,23.31906286,4.703116895,99.47557346,15.4920415,1.711761362,3.030700254,0,36.5,7.3,7.3,4,17,Simulation
MPC25-001-003,3,125.2298192,6.725567258,99.70119236,15.75723522,2.227368189,3.561512903,0.028998269,36.5,7.3,7.3,4,17,Simulation
MPC25-001-003,4,354.8852625,9.532431902,100.092746,15.79580734,2.514264267,4.449263029,0,35,7.3,7.3,4,17,Simulation
MPC25-001-003,5,810.6324859,11.04646304,99.80022788,15.74498948,2.678767941,4.3984365,0,35,7.3,7.3,4,17,Simulation
MPC25-001-003,6,1253.959127,12.00881116,99.24249081,16.10577868,3.175070127,4.09169232,0.036418113,35,7.3,7.3,4,17,Simulation
MPC25-001-003,7,1711.709947,12.83596334,98.7152836,16.55116655,3.706994044,3.837634315,0,35,7.3,7.3,4,17,Simulation
MPC25-001-003,8,2218.863504,12.86037276,97.59793898,17.2086869,4.427835507,3.854080603,0.037089794,35,7.3,7.3,4,17,Simulation
MPC25-001-003,9,2772.76822,12.94798722,96.59356114,17.51290474,4.97724618,4.226908312,0,35,7.3,7.3,4,17,Simulation
