Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH,CO2,pO2,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature_setpoint,Bolus_Feed,Normalized_Bolus_Feed,Volume
AR25-064,AR25-064-001,7/2/2025 11:36,0,0.5785,0.5721,98.9,15.71,321,0.59,0.71,8.06,1.33,2.69,0.1,7.25,49.9,137.4,6.77,103.3,22.1,48.8,134.3,7.26,79.38975,40,7.1,6.95,7.25,36.5,0,0,199.99
AR25-064,AR25-064-005,7/2/2025 12:17,0,1.1936,1.1858,99.3,15.49,327,0.7,0.7,7.87,1.27,2.81,0.23,7.2,55.7,102.7,6.76,103.9,21.7,54.5,99.8,7.2,73.8954,40,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-008,7/2/2025 12:47,0,1.3501,1.3185,97.7,14.95,322,0.71,0.69,7.78,1.25,2.81,0.24,7.35,34.1,112.1,6.74,103.5,19,33.4,109,7.36,75.1713,40,7.3,7.15,7.45,36.5,0,0,199.98
AR25-064,AR25-064-010,7/2/2025 13:13,0,2.5596,2.5194,98.4,15.31,316,0.94,0.68,7.02,0.85,2.94,0.41,7.14,56.4,97.2,6.38,102.1,19.3,55.1,94.3,7.15,85.3305,40,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-013,7/2/2025 13:45,0,1.231,1.203,97.7,15.25,324,0.73,0.69,7.79,1.21,2.77,0.23,7.37,33,107.3,6.67,101.5,19.1,32.3,104.2,7.38,73.4844,40,7.3,7.15,7.45,36.5,0,0,199.98
AR25-064,AR25-064-015,7/2/2025 14:05,0,1.18,1.1642,98.7,15.66,327,0.73,0.7,7.78,1.2,2.72,0.2,7.04,91.2,100.4,6.63,101.5,24.7,89.1,97.4,7.05,75.38505,40,6.9,6.75,7.05,36.5,0,0,199.98
AR25-064,AR25-064-001,7/3/2025 6:12,1,0.908,0.8936,98.4,15.77,326,0.75,0.73,8.02,1.33,2.88,0.22,7.26,48.7,124.2,6.83,102.2,21.8,47.7,121.1,7.26,74.0268,40,7.1,6.95,7.25,36.5,0,0,197.16
AR25-064,AR25-064-005,7/3/2025 6:52,1,1.8942,1.8648,98.4,15.63,319,0.89,0.71,7.44,1.2,2.97,0.45,7.21,48,86.5,6.67,102.1,19.2,47,83.8,7.22,76.1367,40,7.1,6.95,7.25,36.5,0,0,197.16
AR25-064,AR25-064-008,7/3/2025 7:13,1,1.8698,1.8296,97.9,15.57,317,0.9,0.69,7.41,0.84,3.12,0.49,7.44,18.9,95.2,6.59,101.2,12.7,18.5,92.5,7.44,78.6633,40,7.3,7.15,7.45,36.5,0,0,195.36
AR25-064,AR25-064-010,7/3/2025 7:33,1,3.98,3.9169,98.4,15.44,309,1.16,0.68,6.34,0.96,3.26,0.74,7.21,35.4,90.5,6.18,100.3,14.2,34.6,87.6,7.22,124.7944,40,7.1,6.95,7.25,36.5,0,0,197.15
