Sample Name,Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH,CO2,pO2,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature_setpoint,Base Addition,Bolus_Feed,Bolus Glucose,Normalized_Bolus_Feed,Volume
MR24-021004301FER-825-02,MR24-021,MR24-021-825,4/30/2024 10:26,0,1.086,1.078,99.3,14.66,310,0.56,0.65,7.69,0.27,2.69,0.24,7.099,82.1,78.4,6.65,99,25.5,80.3,75.9,7.105,58.674,40,7,6.85,7.15,36.5,0,0,0,0,1590
MR24-021005011FER-825-02,MR24-021,MR24-021-825,5/1/2024 8:21,1,2.04,2.023,99.2,14.7,310,0.7,0.65,7.08,0.28,2.86,0.58,7.123,,58.1,6.45,98.4,,,56.1,7.13,67.86255,40,7,6.85,7.15,36.5,0,0,0,0,1580
MR24-021005021FER-825-02,MR24-021,MR24-021-825,5/2/2024 7:47,2,3.952,3.92,99.2,14.67,301,1.05,0.65,6.15,0.35,3.26,1.01,7.096,37.2,45.3,6.22,99.2,11.5,36.4,43.7,7.102,105.6946,40,7,6.85,7.15,36.5,0,0,0,0,1570
MR24-021005031FER-825-02,MR24-021,MR24-021-825,5/3/2024 9:24,3,7.25,7.191,99.2,15.63,,,,,,,,,,,,,,,,,241.1846,40,7,6.85,7.15,36.5,0,42,0,0.026217228,1602
MR24-021005041FER-825-02,MR24-021,MR24-021-825,,4,,,,,,,,,,,,,,,,,,,,,,40,7,6.85,7.15,36.5,,0,0,0,1550
MR24-021005051FER-825-02,MR24-021,MR24-021-825,5/5/2024 14:59,5,17.421,17.213,98.8,14.72,,,,,,,,,,,,,,,,,1180.728,40,7,6.85,7.15,36.5,1.5678,0,8.52,0,1550.0878
MR24-021005061FER-825-02,MR24-021,MR24-021-825,5/6/2024 10:04,6,19.861,19.581,98.6,14.85,277,3.24,0.48,3.49,0.06,4.48,0.04,7.056,81.8,15.2,3.51,108.7,23,80,14.7,7.06,1510.425,40,7,6.85,7.15,36.5,1.5678,54,0,0.0340572,1585.5678
MR24-021005071FER-825-02,MR24-021,MR24-021-825,5/7/2024 10:16,7,18.368,17.792,96.9,15.67,321,5.38,,6.21,0.14,5.59,0.04,,,,3,111.4,,,,,1773.405,40,7,6.85,7.15,36.5,1.5678,0,0,0,1521.5678
MR24-021005081FER-825-02,MR24-021,MR24-021-825,5/8/2024 8:57,8,17.827,16.708,93.7,15.69,0,4.89,,3.2,0.02,4.78,0.04,6.95,82.9,20.4,2.71,111.1,18.2,81.1,19.7,6.956,2613.615,40,7,6.85,7.15,36.5,1.5678,54,0,0.034492278,1565.5678
MR24-021005091FER-825-02,MR24-021,MR24-021-825,5/9/2024 11:26,9,18.1,16.4,90.7,16.14,331,6.29,,5.17,0.21,5.6,0.05,6.892,88,10.3,2.54,116.1,16.9,86.1,10,6.898,3220.395,40,7,6.85,7.15,36.5,1.5678,0,0,0,1501.5678
MR24-021005101FER-825-02,MR24-021,MR24-021-825,5/10/2024 8:59,10,46.4,42.2,91,16.94,308,6.5,,2.68,0.14,5.02,0.05,6.963,76.7,13.1,2.59,118.7,17.4,75,12.6,6.969,3759.75,40,7,6.85,7.15,36.5,1.5678,48,0,0.031177581,1539.5678
MR24-021005111FER-825-02,MR24-021,MR24-021-825,5/11/2024 8:34,11,16.2,14.2,87.8,16.54,341,7.49,0.44,4.63,,6.44,0.06,6.914,74.7,30.8,2.46,122.9,15.1,73.1,29.7,6.92,3940.485,40,7,6.85,7.15,36.5,1.5678,0,0,0,1481.5678
MR24-021005121FER-825-02,MR24-021,MR24-021-825,5/12/2024 11:32,12,16.8,14.4,85.7,16.19,318,7.92,0.43,1.58,,6.1,0.08,6.914,78,16,2.62,123.7,15.8,76.3,15.4,6.919,4697.025,40,7,6.85,7.15,36.5,,42,0,0.027777778,1512
MR24-021005131FER-825-02,MR24-021,MR24-021-825,5/13/2024 7:50,13,18.87,16.02,84.9,15.75,354,8.69,0.41,3.67,,7.21,0.08,6.872,74.6,18.9,2.68,126.2,13.7,73,18.3,6.878,5010.3,40,7,6.85,7.15,36.5,,0,9.32,0,1469.32
MR24-021005141FER-825-02,MR24-021,MR24-021-825,5/14/2024 9:34,14,16.8,13.6,80.5,15.39,340,8.94,0.4,1.73,,7.18,0.09,6.937,61.1,27.1,2.9,126.5,13.1,59.8,26.1,6.943,5654.43,40,7,6.85,7.15,36.5,1.57,0,0,0,1451.57
