Experiment,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,iVCC,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature_setpoint,Bolus_Feed,Normalized_Bolus_Feed,Volume
AR25-064,AR25-064-001,0,79.38975,0.5721,98.9,2.69,0.59,0.5721,7.1,6.95,7.25,36.5,0,0,199.99
AR25-064,AR25-064-003,0,75.18855,1.2252,98.2,2.8,0.69,1.2252,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-004,0,72.24706,0.6079,98.7,2.72,0.59,0.6079,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-005,0,73.8954,1.1858,99.3,2.81,0.7,1.1858,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-006,0,74.63235,1.1721,97.4,2.79,0.7,1.1721,7.2,7.05,7.35,36.5,0,0,199.98
AR25-064,AR25-064-008,0,75.1713,1.3185,97.7,2.81,0.71,1.3185,7.3,7.15,7.45,36.5,0,0,199.98
AR25-064,AR25-064-009,0,73.9461,1.1377,98.2,2.78,0.71,1.1377,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-010,0,85.3305,2.5194,98.4,2.94,0.94,2.5194,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-012,0,78.40981,2.3579,98.9,2.93,0.95,2.3579,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-013,0,73.4844,1.203,97.7,2.77,0.73,1.203,7.3,7.15,7.45,36.5,0,0,199.98
AR25-064,AR25-064-014,0,77.45805,1.0745,99.2,2.73,0.73,1.0745,7,6.85,7.15,36.5,0,0,199.98
AR25-064,AR25-064-015,0,75.38505,1.1642,98.7,2.72,0.73,1.1642,6.9,6.75,7.05,36.5,0,0,199.98
AR25-064,AR25-064-016,0,75.3507,1.1685,98.9,2.72,0.73,1.1685,7,6.85,7.15,36.5,0,0,199.98
AR25-064,AR25-064-017,0,75.5919,1.2482,98.9,2.78,0.74,1.2482,7.2,7.05,7.35,36.5,0,0,199.98
AR25-064,AR25-064-019,0,72.87315,1.1664,98.8,2.73,0.74,1.1664,7.1,6.95,7.25,36.5,0,0,199.98
AR25-064,AR25-064-020,0,69.9555,1.1219,98.7,2.73,0.74,1.1219,6.9,6.75,7.05,36.5,0,0,199.98
AR25-064,AR25-064-001,1,74.0268,0.8936,98.4,2.88,0.75,0.5721,7.1,6.95,7.25,36.5,0,0,197.16
AR25-064,AR25-064-003,1,79.986,1.9344,98,3.01,0.89,1.2252,7.1,6.95,7.25,36.5,0,0,197.16
AR25-064,AR25-064-004,1,69.89235,0.9597,98.2,2.85,0.75,0.6079,7.1,6.95,7.25,36.5,0,0,197.18
AR25-064,AR25-064-005,1,76.1367,1.8648,98.4,2.97,0.89,1.1858,7.1,6.95,7.25,36.5,0,0,197.16
AR25-064,AR25-064-006,1,75.05445,1.8612,98.4,3.02,0.89,1.1721,7.2,7.05,7.35,36.5,0,0,197.16
AR25-064,AR25-064-008,1,78.6633,1.8296,97.9,3.12,0.9,1.3185,7.3,7.15,7.45,36.5,0,0,195.36
AR25-064,AR25-064-009,1,75.32895,1.8167,98.4,3,0.87,1.1377,7.1,6.95,7.25,36.5,0,0,197.16
AR25-064,AR25-064-010,1,124.7944,3.9169,98.4,3.26,1.16,2.5194,7.1,6.95,7.25,36.5,0,0,197.15
AR25-064,AR25-064-012,1,124.2512,3.7173,99.2,3.26,1.16,2.3579,7.1,6.95,7.25,36.5,0,0,197.15
AR25-064,AR25-064-013,1,77.4285,1.9602,97.9,3.09,0.91,1.203,7.3,7.15,7.45,36.5,0,0,197.16
AR25-064,AR25-064-014,1,78.1107,1.8052,98.4,2.93,0.87,1.0745,7,6.85,7.15,36.5,0,0,197.15
AR25-064,AR25-064-015,1,74.48775,1.8009,98.6,2.88,0.88,1.1642,6.9,6.75,7.05,36.5,0,0,197.15
AR25-064,AR25-064-016,1,76.8468,1.7959,98.6,2.96,0.88,1.1685,7,6.85,7.15,36.5,0,0,197.15
AR25-064,AR25-064-017,1,77.48295,1.7736,98.3,3.04,0.89,1.2482,7.2,7.05,7.35,36.5,0,0,197.16
AR25-064,AR25-064-019,1,69.07275,1.9631,98.3,3.06,0.91,1.1664,7.1,6.95,7.25,36.5,0,0,197.15
AR25-064,AR25-064-020,1,73.87005,1.8597,98.4,2.93,0.89,1.1219,6.9,6.75,7.05,36.5,0,0,197.15
AR25-064,AR25-064-001,2,79.45486,1.6243,97.5,3.2,0.92,0.5721,7.1,6.95,7.25,36.5,0,0,194.33
AR25-064,AR25-064-003,2,99.68671,3.553,99.1,3.37,1.2,1.2252,7.1,6.95,7.25,36.5,0,0,194.32
AR25-064,AR25-064-004,2,75.6705,1.6939,98.1,3.11,0.92,0.6079,7.1,6.95,7.25,36.5,0,0,194.34
AR25-064,AR25-064-005,2,100.0735,3.4424,98.6,3.3,1.19,1.1858,7.1,6.95,7.25,36.5,0,0,194.32
AR25-064,AR25-064-006,2,92.6625,3.3714,98.7,3.41,1.21,1.1721,7.2,7.05,7.35,36.5,0,0,194.33
AR25-064,AR25-064-008,2,85.61505,3.1345,98.7,3.55,1.27,1.3185,7.3,7.15,7.45,36.5,0,0,192.53
AR25-064,AR25-064-009,2,96.2271,3.2544,98.8,3.33,1.19,1.1377,7.1,6.95,7.25,36.5,0,0,194.32
AR25-064,AR25-064-010,2,239.0262,6.203,99.1,3.58,1.62,2.5194,7.1,6.95,7.25,36.5,0,0,194.32
AR25-064,AR25-064-012,2,230.5368,6.4915,99.1,3.62,1.67,2.3579,7.1,6.95,7.25,36.5,0,0,194.32
AR25-064,AR25-064-013,2,93.7533,3.3434,98.6,3.49,1.27,1.203,7.3,7.15,7.45,36.5,0,0,194.33
AR25-064,AR25-064-014,2,98.23665,3.4489,98.9,3.27,1.18,1.0745,7,6.85,7.15,36.5,0,0,194.32
AR25-064,AR25-064-015,2,100.872,3.4927,98.9,3.16,1.17,1.1642,6.9,6.75,7.05,36.5,0,0,194.32
AR25-064,AR25-064-016,2,93.5322,3.3742,98.7,3.21,1.18,1.1685,7,6.85,7.15,36.5,0,0,192.52
AR25-064,AR25-064-017,2,88.59765,3.4216,99.1,3.42,1.25,1.2482,7.2,7.05,7.35,36.5,0,0,192.52
AR25-064,AR25-064-019,2,101.097,3.6039,99,3.43,1.26,1.1664,7.1,6.95,7.25,36.5,0,0,192.52
AR25-064,AR25-064-020,2,98.3307,3.4453,98.6,3.27,1.2,1.1219,6.9,6.75,7.05,36.5,0,0,192.51
AR25-064,AR25-064-001,3,93.69389,3.2056,98.8,3.48,1.28,0.5721,7.1,6.95,7.25,36.5,7.8,0.040733198,191.49
AR25-064,AR25-064-003,3,219.1029,6.3645,99.2,3.68,1.79,1.2252,7.1,6.95,7.25,36.5,7.8,0.040733198,191.49
AR25-064,AR25-064-004,3,99.6072,3.3563,98.8,3.41,1.32,0.6079,7.1,6.95,7.25,36.5,7.8,0.040728944,191.51
AR25-064,AR25-064-005,3,226.2229,5.9532,99.1,3.66,1.77,1.1858,7.1,6.95,7.25,36.5,7.8,0.040733198,191.49
AR25-064,AR25-064-006,3,219.7579,5.9008,99.4,3.67,1.81,1.1721,7.2,7.05,7.35,36.5,7.8,0.040733198,191.49
AR25-064,AR25-064-008,3,212.0348,5.9044,99.2,3.73,1.83,1.3185,7.3,7.15,7.45,36.5,7.8,0.041117554,189.7
AR25-064,AR25-064-009,3,215.6973,6.2941,99.3,3.62,1.75,1.1377,7.1,6.95,7.25,36.5,7.8,0.040733198,191.49
AR25-064,AR25-064-010,3,540.0189,11.0256,99.2,3.64,2,2.5194,7.1,6.95,7.25,36.5,7.8,0.040737452,191.47
AR25-064,AR25-064-012,3,533.1483,10.5921,99.2,3.81,2.03,2.3579,7.1,6.95,7.25,36.5,7.8,0.040735325,191.48
AR25-064,AR25-064-013,3,219.5003,6.2331,99,3.73,1.83,1.203,7.3,7.15,7.45,36.5,7.8,0.040694944,191.67
AR25-064,AR25-064-014,3,225.0996,6.297,99.1,3.57,1.78,1.0745,7,6.85,7.15,36.5,7.8,0.040735325,191.48
AR25-064,AR25-064-015,3,241.0623,6.2776,99.2,3.47,1.81,1.1642,6.9,6.75,7.05,36.5,7.8,0.040949181,190.48
AR25-064,AR25-064-016,3,228.7902,6.4563,98.9,3.52,1.77,1.1685,7,6.85,7.15,36.5,7.8,0.040735325,191.48
AR25-064,AR25-064-017,3,214.4844,6.2711,99.5,3.65,1.82,1.2482,7.2,7.05,7.35,36.5,7.8,0.040733198,191.49
AR25-064,AR25-064-019,3,236.5724,6.4635,99.1,3.71,1.87,1.1664,7.1,6.95,7.25,36.5,7.8,0.040735325,191.48
