Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH,CO2,pO2,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Feed_Time_Offset,Bolus_Feed,Cumulative_Feed,Cumulative_Glucose,Normalized_Bolus_Feed,Cumulative_Normalized_Feed,Cumulative_Normalized_Glucose,Volume
AR25-064,AR25-064-001,7/2/2025 11:36,0,0.5785,0.5721,98.9,15.71,321,0.59,0.71,8.06,1.33,2.69,0.1,7.25,49.9,137.4,6.77,103.3,22.1,48.8,134.3,7.26,79.38975,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.99
AR25-064,AR25-064-002,7/2/2025 11:46,0,1.2195,1.2037,98.7,15.29,328,0.69,0.7,7.8,1.29,2.8,0.21,7.17,61,107,6.72,103.1,22.4,59.7,104,7.18,75.18855,40,7.1,6.95,7.25,36.5,,0,,,0,,,200.03
AR25-064,AR25-064-003,7/2/2025 11:56,0,1.2482,1.2252,98.2,15.12,324,0.69,0.69,7.83,1.28,2.8,0.22,7.21,50.7,114.1,6.72,102.8,20.2,49.7,111.1,7.21,75.18855,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-004,7/2/2025 12:07,0,0.6158,0.6079,98.7,15.43,328,0.59,0.71,8.18,1.32,2.72,0.12,7.16,65,127.1,6.86,103.5,23.3,63.6,124,7.17,72.24706,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-005,7/2/2025 12:17,0,1.1936,1.1858,99.3,15.49,327,0.7,0.7,7.87,1.27,2.81,0.23,7.2,55.7,102.7,6.76,103.9,21.7,54.5,99.8,7.2,73.8954,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-006,7/2/2025 12:27,0,1.203,1.1721,97.4,15.14,323,0.7,0.69,7.76,1.25,2.79,0.23,7.28,43.3,106.8,6.7,103.4,20.3,42.4,103.8,7.28,74.63235,40,7.2,7.05,7.35,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-007,7/2/2025 12:37,0,1.2791,1.2633,98.8,15.45,325,0.71,0.7,7.83,1.26,2.8,0.23,7.21,53.7,101.7,6.77,103.7,21.4,52.5,98.7,7.22,73.21845,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-008,7/2/2025 12:47,0,1.3501,1.3185,97.7,14.95,322,0.71,0.69,7.78,1.25,2.81,0.24,7.35,34.1,112.1,6.74,103.5,19,33.4,109,7.36,75.1713,40,7.3,7.15,7.45,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-009,7/2/2025 12:56,0,1.1585,1.1377,98.2,15.4,327,0.71,0.7,7.75,1.22,2.78,0.23,7.22,49.9,105.3,6.66,102.3,20.6,48.9,102.3,7.23,73.9461,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-010,7/2/2025 13:13,0,2.5596,2.5194,98.4,15.31,316,0.94,0.68,7.02,0.85,2.94,0.41,7.14,56.4,97.2,6.38,102.1,19.3,55.1,94.3,7.15,85.3305,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-011,7/2/2025 13:23,0,1.2245,1.2059,98.5,15.27,325,0.72,0.7,7.83,1.1,2.78,0.21,7.24,45.8,115.4,6.72,102.3,19.8,44.9,112.4,7.25,71.48055,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-012,7/2/2025 13:33,0,2.3837,2.3579,98.9,15.29,319,0.95,0.69,7.08,1.1,2.93,0.42,7.14,56.8,93.4,6.43,101.4,19.4,55.6,90.7,7.15,78.40981,40,7.1,6.95,7.25,36.5,,0,,,0,,,199.98
AR25-064,AR25-064-013,7/2/2025 13:45,0,1.231,1.203,97.7,15.25,324,0.73,0.69,7.79,1.21,2.77,0.23,7.37,33,107.3,6.67,101.5,19.1,32.3,104.2,7.38,73.4844,40,7.3,7.15,7.45,36.5,,0,,,0,,,199.98
