,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
0,AR25-064-002,0,72.87315,1.2037,99.2,2.69,0.74,0.0,36.5,7.1
1,AR25-064-002,1,-16.75658531093209,3.5089802381130633,99.59690012118504,2.743636362969416,1.2153765486005386,0.0,36.5,7.1
2,AR25-064-002,2,-39.7911558840822,5.58314534627991,100.02797418423368,2.8372691039729316,1.7512369178483556,0.0,36.5,7.1
3,AR25-064-002,3,-7.8367202223259,7.409400752646263,100.3844076540431,2.9796293909318106,2.319586443376868,0.040722564,36.5,7.1
4,AR25-064-002,4,67.46530428102866,8.629074921407073,100.52762655023524,3.287560296698366,3.006388023821931,0.0,36.5,7.1
5,AR25-064-002,5,204.7857359837967,10.24603368757378,99.94737941921578,3.6646993290830214,3.5645041413527427,0.0,35.0,7.1
6,AR25-064-002,6,557.3753810367999,11.737082776077566,99.3225747159192,3.889111589975285,4.060384265063679,0.051316961,35.0,7.1
7,AR25-064-002,7,979.6880155693356,12.54928344947619,98.7527716273163,4.229884047120759,4.7536081892579105,0.0,35.0,7.1
8,AR25-064-002,8,1457.8395971490088,13.693813518645117,97.74036720123088,4.518515079058399,5.2879946461475145,0.048088719,35.0,7.1
9,AR25-064-002,9,2005.0847856999335,14.208981596219445,96.68132076859531,4.9227869696623365,5.99551983642916,0.0,35.0,7.1
10,AR25-064-002,10,2614.2417605615933,15.065700012239525,95.11477310078781,5.286216956549837,6.5508899213501754,0.04447814,35.0,7.1
11,AR25-064-002,11,3303.9080723315005,15.383442969810588,93.42260179274142,5.764513024543258,7.272196641694145,0.0,35.0,7.1
12,AR25-064-002,12,4072.4678762919307,16.06205268448285,91.1939681753702,6.210730725317608,7.865203098739991,0.038900803,35.0,7.1
13,AR25-064-002,13,4940.621074378947,16.29636468715331,88.80284403036549,6.758860302317005,8.62220933860154,0.0,35.0,7.1
14,AR25-064-002,14,5906.272859406768,16.84057593158267,85.9134671408198,7.272672372867833,9.28409466151419,0.0,35.0,7.1
15,AR25-064-003,0,73.21845,1.2252,98.9,2.79,0.75,0.0,36.5,7.1
16,AR25-064-003,1,19.626868759836146,3.7390463451307934,99.129708263383,2.8934663810452896,1.2620553949102176,0.0,36.5,7.1
17,AR25-064-003,2,56.33533334769283,6.0751876391109665,99.39502117478109,3.0440899139881976,1.8633918205748272,0.0,36.5,7.1
18,AR25-064-003,3,172.009074897163,8.190741525508527,99.5963724466044,3.2465391474563807,2.5245235429676964,0.040733198,36.5,7.1
19,AR25-064-003,4,352.60914144682135,9.692912710119087,99.60363025284587,3.612521692568937,3.3263287028699358,0.0,36.5,7.1
20,AR25-064-003,5,611.5857879134892,11.546486614330247,98.91317558538773,4.039757481063331,4.012887276767335,0.0,35.0,7.1
21,AR25-064-003,6,1094.2707171017312,13.18714625407702,98.20821640186779,4.300214425493387,4.638788731152179,0.05144627,35.0,7.1
22,AR25-064-003,7,1644.8823233969192,14.0221656468801,97.58932912046674,4.657553749151615,5.4496426920296175,0.0,35.0,7.1
23,AR25-064-003,8,2237.8013324858007,15.034140245678596,96.55531649311631,4.93813841676589,6.072984921145999,0.050795625,35.0,7.1
24,AR25-064-003,9,2873.5310920612706,15.214141606403361,95.49616447784794,5.313463022112342,6.8329837234222905,0.0,35.0,7.1
