Type,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
Simulation,AR25-064-002,0,72.87315,1.2037,99.2,2.69,0.74,0,36.5,7.1
Simulation,AR25-064-002,1,-22.96266738,1.226889103,99.78059775,3.205764987,1.370670196,0,36.5,7.1
Simulation,AR25-064-002,2,-70.84658311,1.921128455,100.1253263,3.65999972,1.91372058,0,36.5,7.1
Simulation,AR25-064-002,3,-34.16907616,3.346481834,100.255865,4.052895878,2.319035867,0.040722564,36.5,7.1
Simulation,AR25-064-002,4,-16.21794882,5.575172174,99.45466042,5.205016753,4.235601444,0,36.5,7.1
Simulation,AR25-064-002,5,474.8976314,9.864436838,98.7387221,5.512570281,3.951603851,0,35,7.1
Simulation,AR25-064-002,6,800.1575116,11.21449005,98.83777373,4.871824484,3.98249692,0.051316961,35,7.1
Simulation,AR25-064-002,7,1037.645563,11.27199709,98.71771984,5.572647471,6.209535652,0,35,7.1
Simulation,AR25-064-002,8,1653.176603,11.58086563,99.32172684,5.501800257,6.158893671,0.048088719,35,7.1
Simulation,AR25-064-002,9,2028.765285,10.99645958,98.83688435,6.396355944,8.360034518,0,35,7.1
Simulation,AR25-064-002,10,2708.31594,10.86058235,98.59083519,6.481057649,8.478065435,0.04447814,35,7.1
Simulation,AR25-064-002,11,3159.12596,10.14978061,97.01168984,7.431353929,10.66474249,0,35,7.1
Simulation,AR25-064-002,12,3910.818562,10.21133967,95.33439117,7.615116051,10.86230915,0.038900803,35,7.1
Simulation,AR25-064-002,13,4501.128338,10.22619351,92.10960884,8.525491088,12.7728652,0,35,7.1
Simulation,AR25-064-002,14,5418.646814,11.50561757,88.37140589,8.71980193,12.79878466,0,35,7.1
Simulation,AR25-064-003,0,73.21845,1.2252,98.9,2.79,0.75,0,36.5,7.1
Simulation,AR25-064-003,1,-16.59018097,1.52112434,99.32610429,3.262337776,1.342915145,0,36.5,7.1
Simulation,AR25-064-003,2,-39.30537265,2.511899864,99.54830813,3.682395381,1.820117674,0,36.5,7.1
Simulation,AR25-064-003,3,35.73973459,4.257823083,99.55871454,4.036645142,2.140006113,0.040733198,36.5,7.1
Simulation,AR25-064-003,4,102.7453228,6.818635772,98.63018954,5.141526159,3.956729132,0,36.5,7.1
Simulation,AR25-064-003,5,651.8556233,11.43297752,97.77735926,5.392105622,3.561813589,0,35,7.1
Simulation,AR25-064-003,6,1041.766151,13.07837166,97.72934211,4.685823187,3.476113244,0.05144627,35,7.1
Simulation,AR25-064-003,7,1347.342719,13.37760967,97.45005381,5.31734388,5.591868161,0,35,7.1
Simulation,AR25-064-003,8,2032.476348,13.85512476,97.88618265,5.171369114,5.429732314,0.050795625,35,7.1
Simulation,AR25-064-003,9,2465.544735,13.3447213,97.17588942,6.046118125,7.643707076,0,35,7.1
Simulation,AR25-064-003,10,3217.524528,13.25528519,96.71598148,6.065281737,7.659805066,0.044808799,35,7.1
Simulation,AR25-064-003,11,3729.987176,12.49593284,94.88235862,6.955012017,9.77722153,0,35,7.1
Simulation,AR25-064-003,12,4534.912406,12.41734012,92.92384985,7.077576005,9.909360675,0.039221602,35,7.1
Simulation,AR25-064-003,13,5164.378377,12.19844975,89.3783947,7.941792415,11.78810078,0,35,7.1
Simulation,AR25-064-003,14,6109.359579,13.17580906,85.2843286,8.095495889,11.78540663,0,35,7.1
Simulation,AR25-064-004,0,75.18855,0.6079,98.9,2.81,0.69,0,36.5,7.1
Simulation,AR25-064-004,1,-63.63480194,0.842030326,99.23599502,3.257559051,1.341768562,0,36.5,7.1
Simulation,AR25-064-004,2,-121.5146981,1.775240703,99.43895141,3.684819293,1.856432598,0,36.5,7.1
Simulation,AR25-064-004,3,-75.79596368,3.498368152,99.45390263,4.055938184,2.201055478,0.040728944,36.5,7.1
