Asset Name,Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature_setpoint,Daily_Feed,Normalized_Daily_Feed,Volume
CD19/CD20,AR25-094,AR25-094-024,10/22/2025 13:15,0,18.0433,17.8997,99.2,14.54,302,0.84,0.7,5.65,1.07,2.32,0.54,6.1,102.5,19.4,47.6,65.1,7.21,128.4369,50,7.1,7,7.2,35,0,0,198.16
CD19/CD20,AR25-094,AR25-094-024,10/23/2025 9:37,1,27.4302,27.0771,98.7,13.85,264,0.97,0.65,2.62,0.47,2.91,0.27,4.57,103.9,21.9,53.4,33.3,7.22,,50,7.1,7,7.2,35,1.28,0.006470856,197.81
CD19/CD20,AR25-094,AR25-094-024,10/24/2025 9:36,2,34.0294,33.308,97.9,13.64,268,2.39,0.56,3.97,0.26,1.61,0.06,4.23,104.7,28.4,63.1,54.3,7.26,1262.156,50,7.1,7,7.2,35,2.23,0.011256941,198.1
CD19/CD20,AR25-094,AR25-094-024,10/25/2025 9:36,3,46.7339,45.5173,97.4,13.88,274,3.66,0.52,3.08,0.32,1.18,0.07,4.36,106.9,28.9,72.8,53,7.2,,50,7.1,7,7.2,35,2.79,0.014130875,197.44
CD19/CD20,AR25-094,AR25-094-024,10/26/2025 9:35,4,31.6069,29.9955,94.9,13.99,282,4.71,0.5,2.6,0.41,1.08,0.07,4.16,110.7,27.8,78.6,53.6,7.15,1428.165,50,7.1,7,7.2,35,3.56,0.018027142,197.48
CD19/CD20,AR25-094,AR25-094-024,10/27/2025 9:35,5,31.7397,28.9261,91.1,14.35,292,4.28,,4.41,0.51,0.52,0.08,3.78,112.1,24.8,68.8,52.7,7.16,2099.085,50,7.1,7,7.2,35,2.81,0.01416402,198.39
CD19/CD20,AR25-094,AR25-094-024,10/28/2025 9:37,6,26.6005,22.6061,85,14.48,289,4.46,0.52,2.88,0.65,0.36,0.08,3.85,115.8,24.3,74.9,55.6,7.11,2390.805,50,7.1,7,7.2,35,2.47,0.012514567,197.37
CD19/CD20,AR25-094,AR25-094-024,10/29/2025 9:36,7,31.6787,25.6243,80.9,14.6,301,4.19,0.51,4.29,0.99,0.38,0.09,3.98,115.7,19.7,54,62.3,7.17,2680.785,50,7.1,7,7.2,35,1.97,0.009976704,197.46
CD19/CD20,AR25-094,AR25-094-024,10/30/2025 9:30,8,31.9766,23.8084,74.5,14.62,301,4.7,0.56,2.9,0.95,0.66,0.1,4.14,118.4,17.3,49.4,65.2,7.15,,50,7.1,7,7.2,35,2.12,0.01080475,196.21
CD19/CD20,AR25-094,AR25-094-024,10/31/2025 9:30,9,31.9809,22.7045,71,14.5,313,4.61,0.55,4.55,1.26,0.84,0.14,4.18,119.4,11,29.9,63.6,7.17,2992.275,50,7.1,7,7.2,35,2.06,0.010486663,196.44
CD19/CD20,AR25-094,AR25-094-024,11/1/2025 9:30,10,29.5757,18.5148,62.6,14.28,313,4.64,0.53,3.08,1.54,1.14,0.17,4.3,120.7,6.2,17.9,65.9,7.15,,50,7.1,7,7.2,35,1.91,0.009790855,195.08
CD19/CD20,AR25-094,AR25-094-024,11/2/2025 9:44,11,32.8343,19.6274,59.8,14.08,314,4.84,0.55,1.43,1.65,1.46,0.27,4.49,123.1,2.8,11.5,68.3,6.99,2822.94,50,7.1,7,7.2,35,1.69,0.00872979,193.59
CD19/CD20,AR25-094,AR25-094-024,,12,32.3398,19.2046,59.4,13.94,,,,,,,,,,,,,,2761.605,50,7.1,7,7.2,35,1.6,0.008209338,194.9
CD19/CD20,AR25-094,AR25-094-023,10/22/2025 13:10,0,20.676,20.498,99.1,14.54,297,0.85,0.7,5.3,1.05,2.34,0.64,6.09,102.7,15.5,29.4,62.1,7.33,156.6955,50,7.3,7.2,7.4,35,0,0,198.16
CD19/CD20,AR25-094,AR25-094-023,10/23/2025 9:30,1,30.8009,30.4391,98.8,13.64,251,0.57,0.63,1.69,0.37,2.89,0.48,4.29,102.9,12.1,21.9,35.5,7.35,,50,7.3,7.2,7.4,35,1.95,0.009829124,198.39
CD19/CD20,AR25-094,AR25-094-023,10/24/2025 9:30,2,35.3968,34.7041,98,13.79,279,2.39,0.54,5.07,0.31,2.51,0.06,4.47,105.4,18.6,27.6,50.1,7.43,1318.345,50,7.3,7.2,7.4,35,3.38,0.016867951,200.38
CD19/CD20,AR25-094,AR25-094-023,10/25/2025 9:30,3,48.2305,46.7196,96.9,14.17,288,3.63,0.49,4.3,0.45,2.5,0.08,4.36,108.5,14.2,24,49.8,7.38,,50,7.3,7.2,7.4,35,3.94,0.01961956,200.82
CD19/CD20,AR25-094,AR25-094-023,10/26/2025 9:29,4,35.7987,33.6059,93.9,14.37,301,4.49,0.46,4.21,0.73,2.94,0.09,3.89,115.1,10.3,21.3,45,7.29,1654.17,50,7.3,7.2,7.4,35,5.31,0.026220927,202.51
CD19/CD20,AR25-094,AR25-094-023,10/27/2025 9:30,5,36.4194,33.2847,91.4,14.65,295,4.35,,2.43,0.58,2.5,0.1,3.31,118.9,9,21.8,37.5,7.22,2423.34,50,7.3,7.2,7.4,35,4.28,0.021082705,203.01
CD19/CD20,AR25-094,AR25-094-023,10/28/2025 9:31,6,34.155,30.175,88.3,15.17,311,4.08,0.47,4.02,0.92,1.8,0.11,3,122.4,8.8,20.5,42,7.24,3089.85,50,7.3,7.2,7.4,35,3.91,0.019075962,204.97
CD19/CD20,AR25-094,AR25-094-023,10/29/2025 9:30,7,34.094,27.6054,81,15.27,309,4.65,0.47,2.19,0.9,1.72,0.11,3.07,124.4,8.2,19,48.1,7.24,3698.49,50,7.3,7.2,7.4,35,3.58,0.017463415,205
CD19/CD20,AR25-094,AR25-094-023,10/30/2025 9:23,8,33.3978,25.6746,76.9,15.33,335,4.98,0.52,4.51,1.4,1.8,0.14,3.11,125.6,7,17.4,53.9,7.21,,50,7.3,7.2,7.4,35,3.29,0.015899096,206.93
CD19/CD20,AR25-094,AR25-094-023,10/31/2025 9:24,9,34.4558,25.8081,74.9,15.03,341,5.81,0.54,2.95,1.72,2.24,0.2,3.37,130.4,6,16.3,50.9,7.17,4206.09,50,7.3,7.2,7.4,35,3.11,0.015036503,206.83
CD19/CD20,AR25-094,AR25-094-023,11/1/2025 9:24,10,34.4098,24.8097,72.1,14.95,371,5.9,0.52,4.09,1.8,2.75,0.49,3.41,137.8,6.3,17.2,48.6,7.17,,50,7.3,7.2,7.4,35,3.08,0.014753784,208.76
CD19/CD20,AR25-094,AR25-094-023,11/2/2025 9:38,11,36.0033,24.7415,68.7,14.86,385,6.13,0.53,2.22,1.97,3.27,0.66,3.61,145.6,5.9,15.7,64,7.18,4577.31,50,7.3,7.2,7.4,35,3.15,0.015070328,209.02
CD19/CD20,AR25-094,AR25-094-023,,12,35.9975,24.6625,68.5,14.7,,,,,,,,,,,,,,4799.85,50,7.3,7.2,7.4,35,2.95,0.01395855,211.34
CD19/CD20,AR25-094,AR25-094-022,10/22/2025 13:03,0,15.6703,15.5383,99.2,14.61,302,0.78,0.71,6.21,1.13,2.39,0.46,6.34,102.6,17.7,29.9,72,7.38,106.7523,50,7.3,7.2,7.4,35,0,0,198.17
CD19/CD20,AR25-094,AR25-094-022,10/23/2025 9:25,1,25.165,24.9008,99,14.14,266,0.96,0.66,2.68,0.55,3.25,0.71,4.82,102.1,9.7,20.5,40.8,7.28,,50,7.3,7.2,7.4,35,0.72,0.003647232,197.41
CD19/CD20,AR25-094,AR25-094-022,10/24/2025 9:23,2,28.4523,27.7776,97.6,14.01,254,0.81,0.57,3.24,0.21,2.18,0.05,4.18,102,19.8,28.5,52.8,7.45,1201.332,50,7.3,7.2,7.4,35,1.35,0.006857317,196.87
CD19/CD20,AR25-094,AR25-094-022,10/25/2025 9:23,3,38.4221,37.6039,97.9,14.02,257,2.51,0.53,1.69,0.19,0.87,0.06,4.81,105.8,21.5,33.3,59.7,7.42,,50,7.3,7.2,7.4,35,1.54,0.007896221,195.03
CD19/CD20,AR25-094,AR25-094-022,10/26/2025 9:54,4,30.943,29.5864,95.6,13.97,283,3.27,0.5,4.76,0.23,0.44,0.08,4.65,108.5,20.3,22.8,58.9,7.55,1073.288,50,7.3,7.2,7.4,35,2.08,0.010621457,195.83
CD19/CD20,AR25-094,AR25-094-022,10/27/2025 9:24,5,35.4506,33.0174,93.1,13.57,273,3.09,,2.11,0.2,0.52,0.09,5.32,111.3,22.5,39.3,74.2,7.36,1297.365,50,7.3,7.2,7.4,35,0.04,0.000208062,192.25
CD19/CD20,AR25-094,AR25-094-022,10/28/2025 9:24,6,23.4316,16.0098,68.3,13.05,280,2.82,0.57,3.15,0.34,0.55,0.61,6.3,110.2,5.5,12.7,77.5,7.24,996.7843,50,7.3,7.2,7.4,35,0,0,191.01
CD19/CD20,AR25-094,AR25-094-022,10/29/2025 9:23,7,31.6644,18.5256,58.5,12.96,273,2.72,0.58,0.97,0.34,0.53,0.92,6.37,110.5,1.4,5,86,7.04,823.3785,50,7.3,7.2,7.4,35,0,0,188.01
CD19/CD20,AR25-094,AR25-094-021,10/22/2025 12:57,0,21.49,21.3364,99.3,14.49,298,0.86,0.71,5.37,1.05,2.25,0.54,6.01,103.3,21,66.1,58.1,7.11,153.2346,50,6.9,6.8,7,35,0,0,198.16
CD19/CD20,AR25-094,AR25-094-021,10/23/2025 9:18,1,31.6019,31.2114,98.8,13.78,257,1.45,0.64,2.02,0.32,2.34,0.1,4.4,103.7,30.4,90,30.3,7.13,,50,6.9,6.8,7,35,0.99,0.005019011,197.25
CD19/CD20,AR25-094,AR25-094-021,10/24/2025 9:18,2,36.8682,36.0679,97.8,13.48,269,2.72,0.57,3.89,0.18,0.47,0.04,4.27,103.5,36.3,119,55.7,7.09,1253.88,50,6.9,6.8,7,35,1.71,0.008671839,197.19
