Sample_Name,Experiment,Batch,Sample_Time,Day,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,Titer,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature_setpoint,Bolus_Feed,Normalized_Bolus_Feed,Volume
TSLP-AR25-064-001-00,AR25-064,AR25-064-001,7/2/2025 11:36,0,0.5785,0.5721,98.9,15.71,321,0.59,0.71,8.06,1.33,2.69,0.1,6.77,103.3,22.1,48.8,134.3,7.26,79.38975,40,7.1,6.95,7.25,36.5,0,0,199.99
TSLP-AR25-064-001-01,AR25-064,AR25-064-001,7/3/2025 6:12,1,0.908,0.8936,98.4,15.77,326,0.75,0.73,8.02,1.33,2.88,0.22,6.83,102.2,21.8,47.7,121.1,7.26,74.0268,40,7.1,6.95,7.25,36.5,0,0,197.16
TSLP-AR25-064-001-02,AR25-064,AR25-064-001,7/4/2025 6:02,2,1.6667,1.6243,97.5,16.03,320,0.92,0.73,7.66,1.2,3.2,0.46,6.68,102.2,19.3,44.5,82.4,7.24,79.45486,40,7.1,6.95,7.25,36.5,0,0,194.33
TSLP-AR25-064-001-03,AR25-064,AR25-064-001,7/5/2025 6:12,3,3.2429,3.2056,98.8,15.79,317,1.28,0.72,6.84,0.91,3.48,0.69,6.39,100.6,15.2,36.5,78.4,7.22,93.69389,40,7.1,6.95,7.25,36.5,7.8,0.040733198,191.49
TSLP-AR25-064-001-04,AR25-064,AR25-064-001,7/6/2025 6:04,4,5.8103,5.7328,98.7,15.96,384,2.38,0.68,12.19,1.57,5.14,1.04,5.81,109.2,7.6,31.2,75.6,6.99,196.5339,40,7.1,6.95,7.25,36.5,0,0,196.49
TSLP-AR25-064-001-05,AR25-064,AR25-064-001,7/7/2025 6:02,5,8.43,8.33,98.8,15.95,368,3.68,0.66,10.46,1.38,5.37,0.96,5.21,108.1,8.4,38.1,62.1,6.95,402.9221,40,7.1,6.95,7.25,35,0,0,193.68
TSLP-AR25-064-001-06,AR25-064,AR25-064-001,7/8/2025 6:03,6,11.43,11.13,97.3,15.59,349,4.28,0.64,8.96,1.3,5.57,0.5,4.63,108.8,13.1,45.5,47.7,7.07,,40,7.1,6.95,7.25,35,9.8,0.051343847,190.87
TSLP-AR25-064-001-07,AR25-064,AR25-064-001,7/9/2025 6:02,7,12.79,12.31,96.3,16.53,432,6.03,0.58,14.91,2.16,6.95,0.27,4.06,116.5,12.8,46.8,42.5,7.04,,40,7.1,6.95,7.25,35,0,0,197.85
TSLP-AR25-064-001-08,AR25-064,AR25-064-001,7/10/2025 6:12,8,14.2,13.8,97.1,17.19,403,7.92,0.54,12.46,2.05,6.88,0.06,3.6,116.4,18.2,56.3,48.6,7.11,1563.405,40,7.1,6.95,7.25,35,9.8,0.05051286,194.01
TSLP-AR25-064-001-09,AR25-064,AR25-064-001,7/11/2025 6:12,9,12.54,12.06,96.2,17.98,472,9.72,0.49,16.87,2.71,7.71,0.09,3.3,122.8,16.4,55.8,41.9,7.07,1977.795,40,7.1,6.95,7.25,35,0,0,201
TSLP-AR25-064-001-10,AR25-064,AR25-064-001,7/12/2025 6:12,10,12.75,12.16,95.3,18.57,445,10.76,0.48,13.75,3.11,7.54,0.08,3.03,123.4,16.4,49.2,34.6,7.13,2790.705,40,7.1,6.95,7.25,35,8.8,0.044413041,198.14
TSLP-AR25-064-001-11,AR25-064,AR25-064-001,7/13/2025 6:12,11,12.11,11.32,93.4,18.69,505,11.74,0.44,16.63,3.99,8.23,0.12,3.13,126.9,16.3,54.8,40.3,7.08,3208.965,40,7.1,6.95,7.25,35,0,0,204.08
TSLP-AR25-064-001-12,AR25-064,AR25-064-002,7/14/2025 6:02,12,13.69,12.14,88.7,18.28,475,12.5,0.45,13.75,4.96,8.52,0.13,3.16,130.8,13.2,42.6,35.5,7.09,4188.96,40,7.1,6.95,7.25,35,7.8,0.038767396,201.2
TSLP-AR25-064-001-13,AR25-064,AR25-064-002,7/15/2025 6:03,13,14.46,12.7,87.8,17.83,521,13.46,0.44,15.95,5.87,9.32,0.15,3.48,135.9,12.3,47.4,46.9,7.02,4655.34,40,7.1,6.95,7.25,35,0,0,206.12
TSLP-AR25-064-001-14,AR25-064,AR25-064-002,7/16/2025 5:25,14,14.55,12.03,82.7,17.62,502,14.95,0.47,12.97,5.95,10.96,0.23,2.98,135.2,10.8,46.5,45.3,6.97,5113.95,40,7.1,6.95,7.25,35,0,0,200.46
TSLP-AR25-064-002-00,AR25-064,AR25-064-002,7/2/2025 11:46,0,1.2195,1.2037,98.7,15.29,328,0.69,0.7,7.8,1.29,2.8,0.21,6.72,103.1,22.4,59.7,104,7.18,75.18855,40,7.1,6.95,7.25,36.5,0,0,200.03
TSLP-AR25-064-002-01,AR25-064,AR25-064-002,7/3/2025 6:23,1,1.9739,1.9344,98,15.61,322,0.88,0.71,7.47,1.19,2.98,0.43,6.65,102,19.5,45.1,95.3,7.24,79.986,40,7.1,6.95,7.25,36.5,0,0,197.21
TSLP-AR25-064-002-02,AR25-064,AR25-064-002,7/4/2025 6:12,2,3.4553,3.4123,98.8,15.96,315,1.18,0.71,6.57,1.06,3.38,0.77,6.34,100.8,13.4,33.2,86.5,7.21,99.68671,40,7.1,6.95,7.25,36.5,0,0,194.37
TSLP-AR25-064-002-03,AR25-064,AR25-064-002,7/5/2025 6:22,3,5.6682,5.6086,98.9,15.86,304,1.78,0.71,5.07,0.83,3.72,1.03,5.78,100.8,9.5,35.6,67,7.03,219.1029,40,7.1,6.95,7.25,36.5,7.8,0.040722564,191.54
TSLP-AR25-064-002-04,AR25-064,AR25-064-002,7/6/2025 6:14,4,10.1507,10.0186,98.7,15.91,363,3.63,0.66,9.87,1.33,5.15,1.06,4.95,109.3,8.4,41.7,61.9,6.91,493.8105,40,7.1,6.95,7.25,36.5,0,0,196.53
TSLP-AR25-064-002-05,AR25-064,AR25-064-002,7/7/2025 6:12,5,13.22,13.05,98.7,16.07,340,4.37,0.62,7.65,1.2,5.39,0.57,4.12,109.1,14.5,49.7,49,7.07,880.5439,40,7.1,6.95,7.25,35,0,0,193.8
TSLP-AR25-064-002-06,AR25-064,AR25-064-002,7/8/2025 6:13,6,16.29,16.06,98.6,15.63,312,3.87,0.59,5.12,0.69,5.25,0.04,3.52,109.7,20.1,49.7,42.2,7.21,,40,7.1,6.95,7.25,35,9.8,0.051316961,190.97
TSLP-AR25-064-002-07,AR25-064,AR25-064-002,7/9/2025 6:12,7,17.22,16.67,96.8,16.49,375,5.66,0.54,10.27,1.41,6.51,0.06,2.85,118.3,15.3,46.1,27.7,7.13,,40,7.1,6.95,7.25,35,0,0,197.92
TSLP-AR25-064-002-08,AR25-064,AR25-064-002,7/10/2025 6:23,8,16.19,15.56,96.1,17.56,345,5.84,0.51,6.3,1,5.88,0.05,2.25,117.5,12.8,42.1,34.8,7.09,2650.59,40,7.1,6.95,7.25,35,9.8,0.048088719,203.79
TSLP-AR25-064-002-09,AR25-064,AR25-064-002,7/11/2025 6:23,9,16.93,16.05,94.8,17.84,398,6.84,0.47,10.14,1.81,6.84,0.08,2.09,124.7,13.5,36.6,25.2,7.17,3246.27,40,7.1,6.95,7.25,35,0,0,200.89
TSLP-AR25-064-002-10,AR25-064,AR25-064-002,7/12/2025 6:22,10,15.13,14.13,93.4,18.22,365,7.3,0.45,6.09,1.38,6.51,0.06,1.98,124.1,13.5,32.5,24.2,7.22,4275.465,40,7.1,6.95,7.25,35,8.8,0.04447814,197.85
TSLP-AR25-064-002-11,AR25-064,AR25-064-002,7/13/2025 6:22,11,15.95,14.62,91.6,18.53,416,8.25,0.44,9.06,2.46,7.51,0.11,2.09,132.7,11.4,32.7,21.5,7.15,4839.72,40,7.1,6.95,7.25,35,0,0,203.6
TSLP-AR25-064-002-12,AR25-064,AR25-064-003,7/14/2025 6:12,12,15.95,14.18,88.9,18.22,385,8.6,0.44,5,2.2,7.42,0.06,2.14,129.3,12.6,33.1,25,7.19,5736.36,40,7.1,6.95,7.25,35,7.8,0.038900803,200.51
