Batch,Condition,Day,Sample Time,TCC,VCC,Viability,Glucose,Glutamate,Lactate,Osmo,Ammonium,IGG,pH_at_temp,pH_Setpoint,Temperature,Daily_Feed_Normalized,Daily_Glucose_Normalized,Daily_CO2_Volume_Normalized,Controller_pH,Feed A Added,Glucose Added,CO2_Total_Volume,Volume
AR23-014-001,pH: 7.15,0,3/7/2023 10:58,0.53,0.53,100,5.98,3.27,0.16,320,3.18,30,7.39,7.15,36.5,0,0,0,7.321,0,0,0.1,198.2
AR23-014-002,pH: 7.05,0,3/7/2023 11:05,0.35,0.34,97.14285714,6.07,3.28,0.16,323,3.14,30,7.25,7.05,36.5,0,0,0,7.171,0,0,0.1,198.2
AR23-014-003,pH: 6.95,0,3/7/2023 11:13,0.4,0.38,95,5.99,3.22,0.18,319,3.24,30,7.3,6.95,36.5,0,0,0.000504541,7.227,0,0,0.1,198.2
AR23-014-004,pH: 6.95,0,3/7/2023 11:20,0.34,0.34,100,6.08,3.27,0.17,323,3.21,30,7.29,6.95,36.5,0,0,0.000504541,7.223,0,0,0.1,198.2
AR23-014-005,pH: 6.95,0,3/7/2023 11:29,0.5,0.5,100,5.98,3.32,0.18,324,3.22,30,7.29,6.95,36.5,0,0,0.001009082,7.213,0,0,0.1,198.2
AR23-014-006,pH: 7.01,0,3/7/2023 11:36,0.46,0.46,100,5.96,3.21,0.21,320,3.24,30,7.32,7.01,36.5,0,0,0.000504541,7.245,0,0,0.1,198.2
AR23-014-007,pH: 6.95,0,3/7/2023 11:44,0.18,0.17,94.44444444,6.14,3.27,0.13,328,3.11,30,7.3,6.95,36.5,0,0,0.000504541,7.228,0,0,0.1,198.2
AR23-014-008,pH: 7.008,0,3/7/2023 11:52,0.5,0.5,100,5.94,3.23,0.21,322,3.21,30,7.31,7.008,36.5,0,0,0.000504541,7.256,0,0,0.1,198.2
AR23-014-009,pH: 7.05,0,3/7/2023 12:03,0.36,0.36,100,6.07,3.28,0.12,329,3.23,30,7.36,7.05,36.5,0,0,0.000504541,7.294,0,0,0.1,198.2
AR23-014-010,pH: 7.15,0,3/7/2023 12:11,0.18,0.18,100,6.09,3.28,0.1,320,3.1,30,7.39,7.15,36.5,0,0,0,7.341,0,0,0.1,198.2
AR23-014-011,pH: 7.15,0,3/7/2023 12:18,0.45,0.44,97.77777778,5.89,3.27,0.16,322,3.24,30,7.37,7.15,36.5,0,0,0,7.316,0,0,0.1,198.2
AR23-014-012,pH: 7.074747498,0,3/7/2023 12:26,0.41,0.41,100,5.96,3.23,0.14,322,3.18,30,7.36,7.074747498,36.5,0,0,0,7.303,0,0,0.1,198.2
AR23-014-013,pH: 7.05,0,3/7/2023 12:34,0.36,0.36,100,6.04,3.28,0.12,322,3.19,30,7.34,7.05,36.5,0,0,0.000504541,7.269,0,0,0.1,198.2
AR23-014-014,pH: 6.95,0,3/7/2023 12:42,0.45,0.45,100,6.03,3.18,0.16,326,3.2,30,7.29,6.95,36.5,0,0,0.000504541,7.212,0,0,0.1,198.2
AR23-014-015,pH: 7.15,0,3/7/2023 12:49,0.19,0.19,100,6.14,3.3,0.11,322,3.05,30,7.39,7.15,36.5,0,0,0,7.336,0,0,0.1,198.2
AR23-014-016,pH: 6.95,0,3/7/2023 12:58,0.18,0.18,100,6.04,3.3,0.1,327,3.09,30,7.29,6.95,36.5,0,0,0.000504541,7.232,0,0,0.1,198.2
AR23-014-017,pH: 7.15,0,3/7/2023 13:07,0.47,0.47,100,6.06,3.29,0.17,323,3.26,30,7.38,7.15,36.5,0,0,0,7.316,0,0,0.1,198.2
AR23-014-018,pH: 6.95,0,3/7/2023 13:14,0.17,0.17,100,6.22,3.18,0.08,328,3.19,30,7.29,6.95,36.5,0,0,0.000504541,7.228,0,0,0.1,198.2
AR23-014-020,pH: 7.15,0,3/7/2023 13:23,0.18,0.18,100,6.18,3.2,0.08,323,3.16,30,7.36,7.15,36.5,0,0,0,7.29,0,0,0.1,197
AR23-014-021,pH: 6.95,0,3/7/2023 13:30,0.4,0.39,97.5,5.97,3.22,0.13,327,3.23,30,7.29,6.95,36.5,0,0,0.000514668,7.211,0,0,0.1,194.3
AR23-014-023,DR23-008 Satellites,0,3/7/2023 13:47,0.442,0.427,96.60633484,5.86,3.23,0.18,324,3.24,30,7.29,7.05,36.5,0,0,0.000504541,7.224,0,0,0.2,198.2
AR23-014-024,DR23-008 Satellites,0,3/7/2023 14:03,0.49,0.48,97.95918367,5.9,3.3,0.15,324,3.27,30,7.24,7.05,36.5,0,0,0,7.238,0,0,0.1,198.2
AR23-014-001,pH: 7.15,1,3/8/2023 9:01,1.11,1.09,98.1981982,5.51,3.42,0.48,323,4.13,67.78,7.38,7.15,36.5,0,0,0,7.411,0,0,0.1,196.4
AR23-014-002,pH: 7.05,1,3/8/2023 6:05,0.67,0.66,98.50746269,5.81,3.35,0.37,322,3.82,67.44,7.29,7.05,36.5,0,0,0.000509165,7.308,0,0,0.1,196.4
AR23-014-003,pH: 6.95,1,3/8/2023 6:13,0.9,0.88,97.77777778,5.59,3.26,0.39,324,3.94,66.84,7.22,6.95,36.5,0,0,0,7.212,0,0,0.2,196.4
AR23-014-004,pH: 6.95,1,3/8/2023 6:20,0.79,0.79,100,5.74,3.3,0.34,328,3.88,65.32,7.21,6.95,36.5,0,0,0.000509684,7.21,0,0,0.2,196.2
AR23-014-005,pH: 6.95,1,3/8/2023 6:28,1.08,1.07,99.07407407,5.73,3.32,0.4,331,4.04,66.25,7.19,6.95,36.5,0,0,0,7.21,0,0,0.3,196.4
AR23-014-006,pH: 7.01,1,3/8/2023 6:36,1.05,1.02,97.14285714,5.62,3.38,0.42,327,3.93,62.65,7.27,7.01,36.5,0,0,0,7.271,0,0,0.2,196.4
AR23-014-007,pH: 6.95,1,3/8/2023 6:43,0.37,0.37,100,6,3.2,0.23,330,3.48,69.87,7.22,6.95,36.5,0,0,0.00101833,7.214,0,0,0.2,196.4
AR23-014-008,pH: 7.008,1,3/8/2023 6:51,1.04,1.03,99.03846154,5.55,3.21,0.44,327,3.97,69.52,7.27,7.008,36.5,0,0,0,7.278,0,0,0.2,196.4
AR23-014-009,pH: 7.05,1,3/8/2023 6:59,0.74,0.73,98.64864865,5.82,3.3,0.38,329,3.85,68.79,7.3,7.05,36.5,0,0,0,7.315,0,0,0.2,196.4
AR23-014-010,pH: 7.15,1,3/8/2023 7:07,0.35,0.34,97.14285714,5.99,3.2,0.26,327,3.64,64.92,7.39,7.15,36.5,0,0,0.000509165,7.414,0,0,0.1,196.4
AR23-014-011,pH: 7.15,1,3/8/2023 7:14,1.07,1.06,99.06542056,5.51,3.26,0.5,324,4.05,67.92,7.39,7.15,36.5,0,0,0,7.409,0,0,0.1,196.4
AR23-014-012,pH: 7.074747498,1,3/8/2023 7:23,0.75,0.74,98.66666667,5.75,3.26,0.36,329,3.84,65.92,7.33,7.074747498,36.5,0,0,0.000509165,7.347,0,0,0.1,196.4
AR23-014-013,pH: 7.05,1,3/8/2023 7:31,0.78,0.77,98.71794872,5.7,3.17,0.37,328,3.78,71.67,7.31,7.05,36.5,0,0,0,7.312,0,0,0.2,196.4
AR23-014-014,pH: 6.95,1,3/8/2023 7:38,0.83,0.82,98.79518072,5.78,3.19,0.38,329,3.88,69.52,7.21,6.95,36.5,0,0,0.000509165,7.216,0,0,0.2,196.4
AR23-014-015,pH: 7.15,1,3/8/2023 7:47,0.38,0.37,97.36842105,5.89,3.24,0.27,332,3.52,64.49,7.41,7.15,36.5,0,0,0.000509165,7.418,0,0,0.1,196.4
AR23-014-016,pH: 6.95,1,3/8/2023 8:03,0.39,0.38,97.43589744,5.92,3.33,0.18,327,3.48,63.89,7.22,6.95,36.5,0,0,0.00101833,7.217,0,0,0.2,196.4
AR23-014-017,pH: 7.15,1,3/8/2023 8:12,1.07,1.06,99.06542056,5.59,3.48,0.5,324,4.13,69.59,7.39,7.15,36.5,0,0,0,7.413,0,0,0.1,196.4
AR23-014-018,pH: 6.95,1,3/8/2023 8:20,0.41,0.4,97.56097561,5.9,3.37,0.21,326,3.47,72.8,7.23,6.95,36.5,0,0,0.00101833,7.219,0,0,0.2,196.4
AR23-014-020,pH: 7.15,1,3/8/2023 8:27,0.41,0.4,97.56097561,6,3.42,0.23,329,3.57,69.76,7.39,7.15,36.5,0,0,0.000504541,7.411,0,0,0.1,198.2
AR23-014-021,pH: 6.95,1,3/8/2023 8:36,0.86,0.84,97.6744186,5.77,3.39,0.33,326,3.79,65.1,7.21,6.95,36.5,0,0,0.000504541,7.219,0,0,0.2,198.2
AR23-014-023,DR23-008 Satellites,1,3/8/2023 10:37,1.04,1.03,99.03846154,5.36,3.47,0.47,320,3.97,67.47,7.33,7.05,36.5,0,0,0,7.355,0,0,0.3,198
AR23-014-024,DR23-008 Satellites,1,3/8/2023 8:52,1.07,1.06,99.06542056,5.51,3.43,0.41,321,3.88,63.34,7.32,7.05,36.5,0,0,0.000509165,7.313,0,0,0.1,196.4
AR23-014-001,pH: 7.15,2,3/9/2023 9:32,3.1,3.06,98.70967742,4.42,3.64,1.05,326,5.71,,7.13,7.15,36.5,0,0,0,7.154,0,0,0.1,193.1
AR23-014-002,pH: 7.05,2,3/9/2023 6:05,1.96,1.95,99.48979592,5.14,3.56,0.83,319,5.1,,7.25,7.05,36.5,0,0,0,7.302,0,0,0.2,193.1
AR23-014-003,pH: 6.95,2,3/9/2023 6:15,2.68,2.66,99.25373134,4.85,3.41,0.89,322,5.27,,7.17,6.95,36.5,0,0,0.000517866,7.215,0,0,0.2,193.1
AR23-014-004,pH: 6.95,2,3/9/2023 6:25,2.08,2.07,99.51923077,5.06,3.46,0.79,325,5.05,,7.17,6.95,36.5,0,0,0,7.21,0,0,0.3,192.9
AR23-014-005,pH: 6.95,2,3/9/2023 6:34,2.43,2.39,98.35390947,4.84,3.37,0.86,325,5.32,,7.17,6.95,36.5,0,0,0,7.211,0,0,0.3,193.1
